,primes
0,21000037
1,21000041
2,21000059
3,21000097
4,21000103
5,21000121
6,21000131
7,21000139
8,21000143
9,21000157
10,21000169
11,21000191
12,21000193
13,21000229
14,21000233
15,21000251
16,21000269
17,21000277
18,21000293
19,21000307
20,21000313
21,21000337
22,21000367
23,21000391
24,21000407
25,21000433
26,21000461
27,21000467
28,21000481
29,21000509
30,21000517
31,21000527
32,21000533
33,21000557
34,21000563
35,21000583
36,21000589
37,21000599
38,21000601
39,21000607
40,21000613
41,21000673
42,21000677
43,21000689
44,21000709
45,21000731
46,21000737
47,21000739
48,21000761
49,21000779
50,21000803
51,21000821
52,21000823
53,21000827
54,21000839
55,21000851
56,21000853
57,21000883
58,21000893
59,21000907
60,21000911
61,21000913
62,21000953
63,21000977
64,21000983
65,21001021
66,21001033
67,21001037
68,21001049
69,21001081
70,21001087
71,21001117
72,21001121
73,21001153
74,21001177
75,21001181
76,21001187
77,21001247
78,21001319
79,21001349
80,21001367
81,21001381
82,21001397
83,21001399
84,21001411
85,21001417
86,21001429
87,21001447
88,21001469
89,21001493
90,21001523
91,21001529
92,21001531
93,21001549
94,21001559
95,21001577
96,21001627
97,21001657
98,21001667
99,21001679
100,21001693
101,21001703
102,21001711
103,21001763
104,21001781
105,21001801
106,21001811
107,21001823
108,21001831
109,21001837
110,21001843
111,21001847
112,21001861
113,21001867
114,21001879
115,21001889
116,21001909
117,21001933
118,21001943
119,21001961
120,21001969
121,21001979
122,21001991
123,21002039
124,21002077
125,21002081
126,21002083
127,21002099
128,21002101
129,21002129
130,21002203
131,21002207
132,21002213
133,21002231
134,21002251
135,21002269
136,21002287
137,21002299
138,21002323
139,21002329
140,21002341
141,21002357
142,21002389
143,21002393
144,21002413
145,21002431
146,21002461
147,21002477
148,21002479
149,21002503
150,21002507
151,21002521
152,21002539
153,21002549
154,21002563
155,21002567
156,21002573
157,21002587
158,21002591
159,21002621
160,21002623
161,21002629
162,21002651
163,21002671
164,21002677
165,21002689
166,21002711
167,21002743
168,21002747
169,21002753
170,21002767
171,21002777
172,21002789
173,21002797
174,21002857
175,21002881
176,21002897
177,21002899
178,21002911
179,21002921
180,21002929
181,21002941
182,21002953
183,21002957
184,21002977
185,21002981
186,21002983
187,21002987
188,21003001
189,21003011
190,21003053
191,21003079
192,21003083
193,21003097
194,21003107
195,21003121
196,21003139
197,21003173
198,21003179
199,21003223
200,21003247
201,21003259
202,21003271
203,21003293
204,21003299
205,21003329
206,21003331
207,21003343
208,21003349
209,21003371
210,21003373
211,21003397
212,21003413
213,21003427
214,21003431
215,21003473
216,21003491
217,21003503
218,21003509
219,21003527
220,21003539
221,21003547
222,21003553
223,21003557
224,21003589
225,21003599
226,21003601
227,21003637
228,21003659
229,21003667
230,21003673
231,21003677
232,21003707
233,21003713
234,21003727
235,21003751
236,21003781
237,21003803
238,21003811
239,21003821
240,21003869
241,21003883
242,21003887
243,21003893
244,21003929
245,21003937
246,21004043
247,21004057
248,21004073
249,21004099
250,21004117
251,21004153
252,21004157
253,21004169
254,21004183
255,21004189
256,21004211
257,21004237
258,21004241
259,21004261
260,21004273
261,21004301
262,21004303
263,21004309
264,21004331
265,21004351
266,21004387
267,21004447
268,21004457
269,21004463
270,21004471
271,21004499
272,21004513
273,21004517
274,21004541
275,21004547
276,21004549
277,21004579
278,21004583
279,21004591
280,21004601
281,21004603
282,21004609
283,21004619
284,21004631
285,21004651
286,21004661
287,21004663
288,21004691
289,21004721
290,21004771
291,21004783
292,21004799
293,21004807
294,21004811
295,21004813
296,21004829
