,primes
0,16000057
1,16000079
2,16000081
3,16000097
4,16000121
5,16000129
6,16000133
7,16000183
8,16000189
9,16000207
10,16000211
11,16000253
12,16000277
13,16000289
14,16000307
15,16000321
16,16000339
17,16000381
18,16000393
19,16000399
20,16000403
21,16000409
22,16000447
23,16000463
24,16000477
25,16000487
26,16000499
27,16000507
28,16000511
29,16000573
30,16000609
31,16000627
32,16000667
33,16000669
34,16000693
35,16000697
36,16000711
37,16000729
38,16000759
39,16000769
40,16000781
41,16000799
42,16000813
43,16000819
44,16000841
45,16000877
46,16000879
47,16000889
48,16000903
49,16000921
50,16000937
51,16000967
52,16000973
53,16000979
54,16000981
55,16000987
56,16001081
57,16001107
58,16001113
59,16001119
60,16001129
61,16001143
62,16001159
63,16001171
64,16001201
65,16001207
66,16001231
67,16001269
68,16001281
69,16001299
70,16001303
71,16001333
72,16001351
73,16001383
74,16001387
75,16001393
76,16001413
77,16001423
78,16001429
79,16001431
80,16001441
81,16001443
82,16001467
83,16001497
84,16001551
85,16001593
86,16001599
87,16001659
88,16001663
89,16001681
90,16001683
91,16001693
92,16001701
93,16001729
94,16001747
95,16001753
96,16001801
97,16001809
98,16001827
99,16001831
100,16001851
101,16001863
102,16001893
103,16001897
104,16001899
105,16001903
106,16001959
107,16001969
108,16002001
109,16002017
110,16002031
111,16002037
112,16002059
113,16002061
114,16002067
115,16002101
116,16002109
117,16002163
118,16002179
119,16002211
120,16002221
121,16002263
122,16002271
123,16002277
124,16002281
125,16002299
126,16002323
127,16002331
128,16002377
129,16002379
130,16002383
131,16002397
132,16002401
133,16002433
134,16002439
135,16002443
136,16002473
137,16002499
138,16002509
139,16002521
140,16002529
141,16002533
142,16002551
143,16002563
144,16002583
145,16002589
146,16002601
147,16002643
148,16002647
149,16002659
150,16002671
151,16002677
152,16002683
153,16002709
154,16002713
155,16002737
156,16002757
157,16002773
158,16002787
159,16002799
160,16002803
161,16002863
162,16002887
163,16002893
164,16002919
165,16002929
166,16002937
167,16002949
168,16002953
169,16002971
170,16002977
171,16002991
172,16003021
173,16003061
174,16003067
175,16003081
176,16003087
177,16003093
178,16003153
179,16003159
180,16003217
181,16003237
182,16003303
183,16003319
184,16003327
185,16003333
186,16003343
187,16003369
188,16003387
189,16003391
190,16003441
191,16003457
192,16003459
193,16003501
194,16003523
195,16003531
196,16003541
197,16003549
198,16003597
199,16003609
200,16003619
201,16003633
202,16003639
203,16003649
204,16003661
205,16003667
206,16003703
207,16003709
208,16003723
209,16003733
210,16003747
211,16003751
212,16003759
213,16003763
214,16003787
215,16003789
216,16003859
217,16003903
218,16003907
219,16003913
220,16003921
221,16003931
222,16003937
223,16003957
224,16003963
225,16003973
226,16003991
227,16003997
228,16004047
229,16004059
230,16004101
231,16004119
232,16004129
233,16004147
234,16004167
235,16004171
236,16004179
237,16004189
238,16004207
239,16004273
240,16004279
241,16004291
242,16004347
243,16004353
244,16004369
245,16004381
246,16004383
247,16004411
248,16004419
249,16004431
250,16004437
251,16004453
252,16004459
253,16004489
254,16004501
255,16004507
256,16004533
257,16004551
258,16004567
259,16004617
260,16004621
261,16004647
262,16004657
263,16004671
264,16004687
265,16004713
266,16004717
267,16004731
268,16004741
269,16004743
270,16004761
271,16004789
272,16004809
273,16004819
274,16004851
275,16004869
276,16004873
277,16004899
278,16004909
279,16004929
280,16004951
281,16004969
282,16004977
283,16004999
284,16005001
285,16005019
286,16005023
287,16005029
288,16005037
