,primes
0,11000027
1,11000053
2,11000057
3,11000081
4,11000083
5,11000089
6,11000111
7,11000113
8,11000149
9,11000159
10,11000179
11,11000189
12,11000273
13,11000281
14,11000287
15,11000291
16,11000293
17,11000299
18,11000347
19,11000351
20,11000369
21,11000383
22,11000387
23,11000393
24,11000399
25,11000401
26,11000419
27,11000441
28,11000461
29,11000467
30,11000537
31,11000569
32,11000593
33,11000597
34,11000603
35,11000623
36,11000651
37,11000681
38,11000701
39,11000711
40,11000719
41,11000723
42,11000741
43,11000747
44,11000749
45,11000761
46,11000767
47,11000771
48,11000783
49,11000789
50,11000809
51,11000827
52,11000849
53,11000861
54,11000879
55,11000911
56,11000917
57,11000929
58,11000933
59,11000959
60,11000971
61,11000993
62,11001007
63,11001013
64,11001031
65,11001037
66,11001049
67,11001073
68,11001083
69,11001103
70,11001131
71,11001139
72,11001143
73,11001169
74,11001181
75,11001191
76,11001197
77,11001217
78,11001239
79,11001241
80,11001251
81,11001253
82,11001257
83,11001269
84,11001281
85,11001283
86,11001301
87,11001313
88,11001371
89,11001377
90,11001391
91,11001413
92,11001427
93,11001439
94,11001443
95,11001451
96,11001491
97,11001503
98,11001517
99,11001539
100,11001547
101,11001563
102,11001569
103,11001577
104,11001607
105,11001623
106,11001631
107,11001647
108,11001649
109,11001667
110,11001673
111,11001677
112,11001707
113,11001719
114,11001721
115,11001743
116,11001761
117,11001763
118,11001769
119,11001799
120,11001803
121,11001821
122,11001827
123,11001841
124,11001853
125,11001911
126,11001919
127,11001923
128,11001943
129,11001953
130,11001961
131,11001967
132,11001973
133,11001983
134,11002001
135,11002037
136,11002051
137,11002067
138,11002081
139,11002129
140,11002139
141,11002169
142,11002171
143,11002177
144,11002207
145,11002219
146,11002249
147,11002259
148,11002279
149,11002289
150,11002291
151,11002301
152,11002331
153,11002363
154,11002393
155,11002399
156,11002423
157,11002457
158,11002469
159,11002477
160,11002499
161,11002517
162,11002529
163,11002531
164,11002543
165,11002549
166,11002561
167,11002583
168,11002591
169,11002603
170,11002619
171,11002639
172,11002643
173,11002661
174,11002669
175,11002679
176,11002681
177,11002699
178,11002721
179,11002741
180,11002759
181,11002777
182,11002781
183,11002811
184,11002829
185,11002867
186,11002879
187,11002891
188,11002903
189,11002913
190,11002921
191,11002939
192,11002967
193,11003009
194,11003011
195,11003021
196,11003059
197,11003077
198,11003081
199,11003099
200,11003107
201,11003137
202,11003173
203,11003183
204,11003197
205,11003249
206,11003257
207,11003263
208,11003273
209,11003287
210,11003303
211,11003329
212,11003339
213,11003341
214,11003347
215,11003381
216,11003411
217,11003417
218,11003423
219,11003431
220,11003459
221,11003479
222,11003483
223,11003497
224,11003513
225,11003519
226,11003537
227,11003549
228,11003563
229,11003599
230,11003617
231,11003623
232,11003627
233,11003639
234,11003653
235,11003669
236,11003711
237,11003723
238,11003737
239,11003747
240,11003749
241,11003753
242,11003767
243,11003771
244,11003779
245,11003809
246,11003833
247,11003843
248,11003857
249,11003893
250,11003897
251,11003899
252,11003903
253,11003917
254,11003929
255,11003933
256,11003939
257,11003953
258,11003957
259,11004017
260,11004023
261,11004029
262,11004043
263,11004073
264,11004089
265,11004109
266,11004127
267,11004167
268,11004187
269,11004199
270,11004209
271,11004221
272,11004233
273,11004263
274,11004269
275,11004271
276,11004289
277,11004299
278,11004307
279,11004317
280,11004341
281,11004347
282,11004377
283,11004391
