,primes
0,19000013
1,19000027
2,19000031
3,19000043
4,19000073
5,19000087
6,19000099
7,19000103
8,19000123
9,19000153
10,19000187
11,19000213
12,19000229
13,19000243
14,19000253
15,19000259
16,19000279
17,19000283
18,19000291
19,19000357
20,19000363
21,19000391
22,19000409
23,19000411
24,19000469
25,19000477
26,19000511
27,19000517
28,19000519
29,19000559
30,19000561
31,19000567
32,19000571
33,19000591
34,19000621
35,19000637
36,19000661
37,19000669
38,19000673
39,19000697
40,19000717
41,19000733
42,19000769
43,19000811
44,19000823
45,19000853
46,19000859
47,19000867
48,19000873
49,19000889
50,19000901
51,19000909
52,19000937
53,19000957
54,19000963
55,19000973
56,19000979
57,19000981
58,19000987
59,19000991
60,19000997
61,19001011
62,19001027
63,19001033
64,19001041
65,19001069
66,19001077
67,19001089
68,19001153
69,19001201
70,19001219
71,19001249
72,19001251
73,19001261
74,19001263
75,19001299
76,19001321
77,19001329
78,19001341
79,19001371
80,19001377
81,19001407
82,19001417
83,19001447
84,19001459
85,19001471
86,19001503
87,19001527
88,19001531
89,19001533
90,19001551
91,19001579
92,19001581
93,19001617
94,19001623
95,19001627
96,19001629
97,19001639
98,19001651
99,19001663
100,19001687
101,19001693
102,19001701
103,19001711
104,19001713
105,19001747
106,19001753
107,19001783
108,19001797
109,19001839
110,19001893
111,19001911
112,19001921
113,19001951
114,19001987
115,19001993
116,19001999
117,19002019
118,19002041
119,19002043
120,19002059
121,19002083
122,19002089
123,19002131
124,19002167
125,19002169
126,19002197
127,19002211
128,19002239
129,19002251
130,19002317
131,19002329
132,19002331
133,19002353
134,19002383
135,19002391
136,19002407
137,19002427
138,19002437
139,19002463
140,19002469
141,19002491
142,19002521
143,19002547
144,19002559
145,19002563
146,19002589
147,19002611
148,19002619
149,19002631
150,19002637
151,19002691
152,19002707
153,19002727
154,19002749
155,19002751
156,19002757
157,19002769
158,19002773
159,19002799
160,19002811
161,19002827
162,19002857
163,19002877
164,19002887
165,19002901
166,19002911
167,19002913
168,19002943
169,19002961
170,19003001
171,19003003
172,19003007
173,19003051
174,19003057
175,19003063
176,19003067
177,19003073
178,19003111
179,19003121
180,19003139
181,19003151
182,19003157
183,19003189
184,19003219
185,19003223
186,19003261
187,19003273
188,19003289
189,19003319
190,19003321
191,19003337
192,19003339
193,19003343
194,19003357
195,19003373
196,19003379
197,19003393
198,19003421
199,19003427
200,19003429
201,19003447
202,19003469
203,19003483
204,19003489
205,19003493
206,19003499
207,19003507
208,19003511
209,19003559
210,19003577
211,19003601
212,19003619
213,19003639
214,19003661
215,19003669
216,19003697
217,19003709
218,19003717
219,19003741
220,19003753
221,19003771
222,19003793
223,19003801
224,19003811
225,19003861
226,19003867
227,19003883
228,19003891
229,19003913
230,19003939
231,19003969
232,19003981
233,19003997
234,19004053
