,primes
0,23000009
1,23000011
2,23000027
3,23000059
4,23000071
5,23000093
6,23000101
7,23000113
8,23000123
9,23000137
10,23000189
11,23000261
12,23000287
13,23000291
14,23000293
15,23000309
16,23000311
17,23000323
18,23000377
19,23000401
20,23000413
21,23000429
22,23000447
23,23000459
24,23000479
25,23000491
26,23000513
27,23000533
28,23000557
29,23000563
30,23000573
31,23000597
32,23000617
33,23000633
34,23000639
35,23000641
36,23000647
37,23000689
38,23000699
39,23000701
40,23000723
41,23000749
42,23000777
43,23000821
44,23000833
45,23000837
46,23000867
47,23000903
48,23000909
49,23000911
50,23000921
51,23000927
52,23000941
53,23000969
54,23000987
55,23001007
56,23001019
57,23001049
58,23001053
59,23001103
60,23001107
61,23001109
62,23001137
63,23001149
64,23001157
65,23001169
66,23001179
67,23001193
68,23001211
69,23001227
70,23001233
71,23001241
72,23001257
73,23001269
74,23001271
75,23001313
76,23001337
77,23001347
78,23001353
79,23001367
80,23001371
81,23001397
82,23001401
83,23001409
84,23001413
85,23001439
86,23001467
87,23001479
88,23001491
89,23001499
90,23001509
91,23001551
92,23001613
93,23001617
94,23001619
95,23001623
96,23001631
97,23001637
98,23001653
99,23001677
100,23001691
101,23001701
102,23001709
103,23001733
104,23001739
105,23001767
106,23001773
107,23001793
108,23001809
109,23001829
110,23001851
111,23001883
112,23001899
113,23001911
114,23001919
115,23001929
116,23001931
117,23001949
118,23001967
119,23001973
120,23001977
121,23001983
122,23001991
123,23001997
124,23002009
125,23002013
126,23002051
127,23002061
128,23002069
129,23002097
130,23002099
131,23002117
132,23002121
133,23002127
134,23002151
135,23002157
136,23002169
137,23002171
138,23002201
139,23002237
140,23002247
141,23002267
142,23002327
143,23002333
144,23002339
145,23002349
146,23002361
147,23002387
148,23002391
149,23002417
150,23002433
151,23002439
152,23002451
153,23002453
154,23002457
155,23002487
156,23002489
157,23002501
158,23002531
159,23002543
160,23002607
161,23002627
162,23002631
163,23002633
164,23002643
165,23002657
166,23002663
167,23002669
168,23002697
169,23002709
170,23002729
171,23002781
172,23002799
173,23002801
174,23002817
175,23002823
176,23002831
177,23002849
178,23002867
179,23002877
180,23002879
181,23002883
182,23002891
183,23002913
184,23002919
185,23002943
186,23002949
187,23002951
188,23002999
189,23003021
190,23003027
191,23003041
192,23003047
193,23003051
194,23003083
195,23003087
196,23003107
197,23003117
198,23003131
199,23003143
200,23003153
201,23003171
202,23003179
203,23003191
204,23003221
205,23003263
206,23003269
207,23003287
208,23003303
209,23003327
210,23003339
211,23003341
212,23003347
213,23003353
214,23003359
215,23003369
216,23003377
217,23003389
218,23003399
219,23003411
220,23003413
221,23003417
222,23003423
223,23003437
224,23003441
225,23003447
226,23003459
227,23003531
228,23003549
229,23003551
230,23003557
231,23003573
232,23003587
233,23003593
234,23003597
235,23003627
236,23003639
237,23003653
238,23003683
239,23003689
240,23003719
241,23003759
242,23003777
243,23003779
244,23003789
245,23003801
246,23003809
247,23003819
248,23003831
249,23003837
250,23003843
251,23003867
252,23003879
253,23003969
254,23003977
255,23004013
256,23004017
257,23004049
258,23004061
259,23004109
260,23004119
261,23004127
262,23004143
263,23004161
264,23004203
265,23004211
266,23004227
267,23004253
268,23004257
269,23004283
270,23004299
271,23004313
272,23004379
273,23004389
274,23004391
275,23004409
276,23004433
277,23004463
278,23004469
279,23004481
280,23004493
281,23004523
282,23004539
283,23004551
284,23004571
285,23004581
286,23004593
287,23004601
288,23004637
289,23004643
290,23004647
291,23004671
292,23004673
293,23004677
294,23004691
295,23004701
296,23004727
297,23004733
298,23004803
299,23004829
300,23004833
301,23004847
302,23004851
303,23004881
304,23004911
305,23004913
306,23004929
307,23004931
308,23004937
309,23004941
310,23004967
311,23004973
312,23004979
313,23005013
314,23005039
315,23005049
316,23005051
317,23005057
318,23005061
319,23005093
320,23005109
321,23005121
322,23005123
323,23005163
324,23005183
325,23005217
326,23005237
327,23005249
328,23005261
329,23005289
330,23005291
331,23005309
332,23005337
333,23005351
334,23005361
335,23005417
336,23005421
337,23005427
338,23005429
339,23005517
340,23005519
341,23005529
342,23005531
343,23005537
344,23005547
345,23005571
346,23005597
347,23005621
348,23005639
349,23005667
350,23005673
351,23005747
352,23005757
353,23005799
354,23005831
355,23005847
356,23005861
357,23005883
