,primes
0,20000003
1,20000023
2,20000033
3,20000047
4,20000059
5,20000063
6,20000069
7,20000077
8,20000081
9,20000093
10,20000107
11,20000147
12,20000153
13,20000159
14,20000161
15,20000171
16,20000213
17,20000221
18,20000243
19,20000269
20,20000287
21,20000297
22,20000303
23,20000311
24,20000327
25,20000329
26,20000339
27,20000353
28,20000359
29,20000377
30,20000389
31,20000429
32,20000443
33,20000471
34,20000503
35,20000507
36,20000531
37,20000537
38,20000543
39,20000567
40,20000569
41,20000573
42,20000599
43,20000621
44,20000623
45,20000641
46,20000671
47,20000689
48,20000693
49,20000707
50,20000713
51,20000723
52,20000753
53,20000779
54,20000791
55,20000801
56,20000821
57,20000837
58,20000839
59,20000843
60,20000861
61,20000867
62,20000873
63,20000879
64,20000909
65,20000917
66,20000933
67,20000951
68,20000969
69,20000971
70,20001001
71,20001019
72,20001029
73,20001031
74,20001067
75,20001073
76,20001083
77,20001139
78,20001151
79,20001161
80,20001181
81,20001203
82,20001217
83,20001227
84,20001239
85,20001253
86,20001259
87,20001263
88,20001269
89,20001277
90,20001301
91,20001307
92,20001341
93,20001361
94,20001389
95,20001439
96,20001451
97,20001491
98,20001517
99,20001521
100,20001551
101,20001557
102,20001613
103,20001659
104,20001679
105,20001703
106,20001763
107,20001769
108,20001797
109,20001799
110,20001811
111,20001823
112,20001833
113,20001841
114,20001847
115,20001853
116,20001899
117,20001901
118,20001929
119,20001937
120,20001959
121,20001977
122,20001983
123,20002007
124,20002027
125,20002061
126,20002067
127,20002097
128,20002123
129,20002133
130,20002159
131,20002187
132,20002189
133,20002201
134,20002261
135,20002313
136,20002321
137,20002331
138,20002337
139,20002361
140,20002363
141,20002369
142,20002397
143,20002399
144,20002417
145,20002429
146,20002453
147,20002457
148,20002487
149,20002529
150,20002531
151,20002537
152,20002553
153,20002579
154,20002603
155,20002613
156,20002639
157,20002651
158,20002667
159,20002669
160,20002673
161,20002679
162,20002691
163,20002729
164,20002733
165,20002739
166,20002757
167,20002771
168,20002799
169,20002823
170,20002831
171,20002841
172,20002907
173,20002919
174,20002933
175,20002951
176,20002979
177,20002981
178,20003003
179,20003023
180,20003047
181,20003057
182,20003063
183,20003089
184,20003107
185,20003117
186,20003131
187,20003149
188,20003161
189,20003167
190,20003171
191,20003173
192,20003177
193,20003201
194,20003227
195,20003231
196,20003267
197,20003287
198,20003293
199,20003297
200,20003317
201,20003369
202,20003383
203,20003393
204,20003443
205,20003461
206,20003497
207,20003513
208,20003521
209,20003549
210,20003563
211,20003567
212,20003597
213,20003609
214,20003663
215,20003671
216,20003677
217,20003681
218,20003693
219,20003699
220,20003701
221,20003719
222,20003801
223,20003803
224,20003821
225,20003833
226,20003857
227,20003861
228,20003869
229,20003887
230,20003899
231,20003909
232,20003923
233,20003927
234,20003933
235,20003957
236,20003969
237,20003981
238,20004001
239,20004011
240,20004031
241,20004041
242,20004059
243,20004071
244,20004107
245,20004133
246,20004137
247,20004139
248,20004191
249,20004199
250,20004211
251,20004217
252,20004221
253,20004233
254,20004239
255,20004253
256,20004289
257,20004307
258,20004311
259,20004323
260,20004343
261,20004367
262,20004419
263,20004431
264,20004451
265,20004487
266,20004497
267,20004521
268,20004527
269,20004533
270,20004541
271,20004559
272,20004581
273,20004583
274,20004667
275,20004683
276,20004689
277,20004709
278,20004713
279,20004727
280,20004731
281,20004749
282,20004773
283,20004811
284,20004821
285,20004823
286,20004833
287,20004851
288,20004883
289,20004893
290,20004923
291,20004931
292,20004947
293,20004973
294,20004977
295,20004979
296,20004997
297,20005003
298,20005021
299,20005087
300,20005093
301,20005129
302,20005159
303,20005163
304,20005177
305,20005207
306,20005213
307,20005231
308,20005259
309,20005289
310,20005291
311,20005301
312,20005313
313,20005319
314,20005343
315,20005351
316,20005357
317,20005361
