,primes
0,13000027
1,13000049
2,13000069
3,13000081
4,13000133
5,13000139
6,13000159
7,13000177
8,13000187
9,13000201
10,13000213
11,13000217
12,13000219
13,13000243
14,13000249
15,13000261
16,13000277
17,13000297
18,13000301
19,13000303
20,13000307
21,13000327
22,13000331
23,13000333
24,13000349
25,13000367
26,13000397
27,13000411
28,13000457
29,13000469
30,13000483
31,13000489
32,13000499
33,13000511
34,13000553
35,13000583
36,13000601
37,13000627
38,13000633
39,13000651
40,13000657
41,13000667
42,13000679
43,13000711
44,13000723
45,13000751
46,13000753
47,13000781
48,13000829
49,13000831
50,13000849
51,13000861
52,13000877
53,13000891
54,13000909
55,13000913
56,13000919
57,13000943
58,13000963
59,13000973
60,13000979
61,13000987
62,13000993
63,13001029
64,13001057
65,13001071
66,13001089
67,13001101
68,13001119
69,13001129
70,13001147
71,13001159
72,13001161
73,13001173
74,13001213
75,13001237
76,13001239
77,13001269
78,13001273
79,13001291
80,13001321
81,13001323
82,13001341
83,13001347
84,13001389
85,13001407
86,13001459
87,13001477
88,13001489
89,13001501
90,13001507
91,13001531
92,13001533
93,13001539
94,13001543
95,13001557
96,13001603
97,13001621
98,13001627
99,13001663
100,13001669
101,13001671
102,13001683
103,13001717
104,13001731
105,13001749
106,13001759
107,13001761
108,13001789
109,13001827
110,13001843
111,13001861
112,13001897
113,13001917
114,13001959
115,13001981
116,13001993
117,13002019
118,13002029
119,13002037
120,13002053
121,13002071
122,13002079
123,13002083
124,13002091
125,13002097
126,13002109
127,13002131
128,13002139
129,13002149
130,13002163
131,13002167
132,13002173
133,13002181
134,13002193
135,13002203
136,13002233
137,13002239
138,13002257
139,13002287
140,13002307
141,13002313
142,13002323
143,13002377
144,13002397
145,13002421
146,13002427
147,13002439
148,13002463
149,13002481
150,13002487
151,13002491
152,13002499
153,13002511
154,13002529
155,13002551
156,13002581
157,13002589
158,13002601
159,13002607
160,13002629
161,13002677
162,13002709
163,13002721
164,13002767
165,13002779
166,13002791
167,13002793
168,13002809
169,13002877
170,13002881
171,13002883
172,13002887
173,13002901
174,13002917
175,13002923
176,13002949
177,13002953
178,13002971
179,13003007
180,13003009
181,13003013
182,13003019
183,13003037
184,13003051
185,13003061
186,13003091
187,13003099
188,13003127
189,13003129
190,13003171
191,13003219
192,13003231
193,13003247
194,13003259
195,13003301
196,13003313
197,13003363
198,13003369
199,13003399
200,13003433
201,13003439
202,13003451
203,13003457
204,13003469
205,13003483
206,13003493
207,13003499
208,13003511
209,13003517
210,13003531
211,13003547
212,13003559
213,13003577
214,13003597
215,13003607
216,13003609
217,13003621
218,13003643
219,13003699
220,13003703
221,13003741
222,13003747
223,13003801
224,13003807
225,13003841
226,13003877
227,13003883
228,13003889
229,13003937
230,13003951
231,13003957
232,13003979
233,13003987
234,13004051
235,13004063
236,13004071
237,13004077
238,13004081
239,13004083
240,13004087
241,13004129
242,13004137
243,13004143
244,13004161
245,13004197
246,13004203
247,13004207
248,13004261
249,13004263
250,13004297
251,13004311
252,13004317
253,13004323
254,13004333
255,13004347
256,13004351
257,13004359
258,13004363
259,13004377
260,13004389
261,13004393
262,13004449
263,13004461
264,13004479
265,13004483
266,13004489
267,13004491
268,13004513
269,13004521
270,13004527
271,13004539
272,13004543
273,13004587
274,13004597
275,13004599
276,13004639
277,13004647
278,13004653
279,13004657
280,13004671
281,13004713
282,13004753
283,13004777
284,13004801
285,13004807
286,13004809
287,13004819
288,13004833
289,13004843
290,13004851
291,13004863
292,13004879
293,13004891
294,13004909
295,13004917
296,13004921
297,13004933
298,13004939
299,13004941
300,13004969
301,13004989
302,13004993
303,13005007
304,13005011
305,13005029
306,13005037
307,13005053
308,13005061
309,13005073
310,13005103
311,13005121
312,13005127
313,13005131
314,13005133
315,13005173
316,13005191
317,13005197
318,13005199
319,13005203
320,13005211
321,13005227
322,13005233
323,13005259
324,13005263
325,13005269
326,13005277
327,13005301
328,13005319
329,13005331
330,13005359
331,13005371
332,13005397
333,13005401
334,13005403
335,13005413
336,13005431
337,13005439
338,13005449
339,13005457
340,13005491
341,13005521
342,13005539
343,13005563
344,13005581
345,13005589
346,13005599
347,13005623
348,13005631
349,13005637
350,13005673
351,13005679
352,13005683
353,13005701
354,13005703
355,13005719
356,13005721
357,13005739
358,13005757
359,13005761
360,13005767
361,13005859
362,13005893
363,13005911
364,13005917
365,13005919
366,13005929
367,13005931
368,13005997
369,13006001
370,13006009
371,13006027
372,13006031
373,13006033
374,13006039
375,13006057
376,13006069
377,13006111
378,13006121
379,13006153
380,13006163
381,13006177
382,13006199
383,13006219
384,13006249
385,13006261
386,13006271
387,13006283
388,13006289
389,13006291
390,13006321
391,13006327
392,13006333
393,13006361
394,13006363
395,13006379
396,13006381
397,13006387
398,13006421
399,13006423
400,13006447
401,13006457
402,13006459
403,13006489
404,13006493
405,13006501
406,13006537
407,13006541
408,13006559
409,13006579
410,13006589
411,13006613
412,13006627
413,13006667
414,13006691
415,13006699
416,13006709
417,13006711
418,13006723
419,13006739
420,13006793
421,13006817
422,13006831
423,13006837
424,13006843
425,13006867
426,13006871
427,13006879
428,13006897
429,13006907
430,13006913
431,13006919
432,13006933
433,13006951
434,13006967
435,13006997
436,13007003
437,13007009
438,13007041
439,13007053
440,13007069
441,13007087
442,13007119
443,13007123
444,13007143
445,13007171
446,13007173
447,13007219
448,13007221
449,13007231
450,13007233
451,13007243
452,13007249
453,13007257
454,13007273
455,13007303
456,13007339
457,13007347
458,13007353
459,13007369
460,13007377
461,13007411
462,13007417
463,13007437
464,13007441
465,13007453
466,13007479
467,13007483
468,13007509
469,13007513
470,13007521
471,13007539
472,13007557
473,13007597
474,13007611
475,13007641
476,13007653
477,13007663
478,13007681
479,13007699
480,13007707
481,13007711
482,13007741
483,13007749
484,13007777
485,13007791
486,13007821
487,13007833
488,13007851
489,13007867
490,13007881
491,13007893
492,13007899
493,13007923
494,13007959
495,13007963
496,13007971
497,13007987
498,13008019
499,13008101
500,13008113
501,13008119
502,13008137
503,13008139
504,13008167
505,13008173
506,13008181
507,13008209
508,13008223
509,13008239
510,13008241
511,13008253
512,13008263
513,13008299
514,13008301
515,13008319
516,13008353
517,13008367
518,13008419
519,13008427
520,13008449
521,13008461
522,13008469
523,13008481
524,13008493
525,13008503
526,13008517
527,13008539
528,13008557
529,13008563
530,13008599
531,13008601
532,13008607
533,13008629
534,13008637
535,13008643
536,13008647
537,13008659
538,13008679
539,13008701
540,13008703
541,13008713
542,13008727
543,13008761
544,13008763
545,13008773
546,13008781
547,13008811
548,13008881
549,13008883
550,13008913
551,13008917
552,13008923
553,13008929
554,13008943
555,13008949
556,13008971
557,13008973
558,13008979
559,13008997
560,13009001
561,13009019
562,13009021
563,13009027
564,13009067
565,13009069
566,13009123
567,13009127
568,13009169
569,13009207
570,13009223
571,13009253
572,13009273
573,13009277
574,13009279
575,13009291
576,13009303
577,13009307
578,13009309
579,13009331
580,13009333
581,13009343
582,13009379
583,13009387
584,13009391
585,13009439
586,13009453
587,13009463
588,13009489
589,13009501
590,13009511
591,13009517
592,13009561
593,13009567
594,13009571
595,13009589
596,13009609
597,13009613
598,13009639
599,13009663
600,13009687
601,13009691
602,13009721
603,13009723
604,13009729
605,13009747
606,13009757
607,13009769
608,13009771
609,13009781
610,13009807
611,13009817
612,13009823
613,13009901
614,13009907
615,13009921
616,13009939
617,13009943
618,13009949
619,13009961
620,13009967
621,13010047
622,13010059
623,13010143
624,13010147
625,13010159
626,13010191
627,13010197
628,13010213
629,13010293
630,13010317
631,13010339
632,13010411
633,13010419
634,13010447
635,13010477
636,13010561
637,13010563
638,13010609
639,13010623
640,13010633
641,13010659
642,13010689
643,13010693
644,13010713
645,13010737
646,13010749
647,13010771
648,13010779
649,13010783
650,13010813
651,13010827
652,13010843
653,13010849
654,13010861
655,13010887
656,13010891
657,13010909
658,13010911
659,13010923
660,13010927
661,13010929
662,13010941
663,13010951
664,13010969
665,13010971
666,13010993
667,13011007
668,13011059
669,13011071
670,13011073
671,13011079
672,13011091
673,13011107
674,13011113
675,13011121
676,13011133
677,13011197
678,13011203
679,13011209
680,13011223
681,13011253
682,13011281
683,13011283
684,13011287
685,13011293
686,13011311
687,13011319
688,13011337
689,13011347
690,13011367
691,13011407
692,13011421
693,13011431
694,13011437
695,13011463
696,13011469
697,13011487
698,13011529
699,13011539
700,13011541
701,13011563
702,13011569
703,13011577
704,13011587
705,13011617
706,13011619
707,13011623
708,13011631
709,13011641
710,13011697
711,13011703
712,13011707
713,13011763
714,13011769
715,13011773
716,13011781
717,13011787
718,13011793
719,13011797
720,13011811
721,13011829
722,13011839
723,13011841
724,13011863
725,13011881
726,13011893
727,13011917
728,13011937
729,13011959
730,13011961
731,13011967
732,13012001
733,13012007
734,13012019
735,13012061
736,13012079
737,13012081
738,13012117
739,13012141
740,13012147
741,13012171
742,13012217
743,13012229
744,13012231
745,13012243
746,13012247
747,13012261
748,13012291
749,13012301
750,13012303
751,13012309
752,13012333
753,13012367
754,13012369
755,13012379
756,13012393
757,13012403
758,13012409
759,13012427
760,13012471
761,13012487
762,13012499
763,13012523
764,13012543
765,13012553
766,13012579
767,13012589
768,13012609
769,13012669
770,13012679
771,13012691
772,13012693
773,13012697
774,13012709
775,13012717
776,13012721
777,13012723
778,13012751
779,13012757
780,13012759
781,13012787
782,13012799
783,13012849
784,13012859
785,13012861
786,13012873
787,13012889
788,13012913
789,13012921
790,13012927
791,13012933
792,13012943
793,13012969
794,13012999
795,13013023
796,13013027
797,13013057
798,13013059
799,13013071
800,13013129
801,13013131
802,13013137
803,13013179
804,13013197
805,13013227
806,13013243
807,13013261
808,13013267
809,13013269
810,13013291
811,13013293
812,13013303
813,13013317
814,13013327
815,13013333
816,13013339
817,13013353
818,13013369
819,13013387
820,13013389
821,13013393
822,13013417
823,13013437
824,13013443
825,13013467
826,13013509
827,13013513
828,13013527
829,13013543
830,13013549
831,13013593
832,13013621
833,13013629
834,13013639
835,13013641
836,13013647
837,13013657
838,13013659
839,13013681
840,13013701
841,13013713
842,13013717
843,13013731
844,13013743
845,13013747
846,13013761
847,13013771
848,13013773
849,13013813
850,13013827
851,13013839
852,13013849
853,13013863
854,13013867
855,13013873
856,13013909
857,13013921
858,13013939
859,13013941
860,13013963
861,13013969
862,13013977
863,13013981
864,13013999
865,13014007
866,13014049
867,13014073
868,13014077
869,13014103
870,13014173
871,13014191
872,13014193
873,13014247
874,13014257
875,13014263
876,13014307
877,13014311
878,13014319
879,13014349
880,13014403
881,13014413
882,13014427
883,13014461
884,13014479
885,13014493
886,13014497
887,13014511
888,13014523
889,13014541
890,13014581
891,13014583
892,13014607
893,13014611
894,13014613
895,13014623
896,13014641
897,13014643
898,13014647
899,13014739
900,13014763
901,13014769
902,13014779
903,13014821
904,13014893
905,13014901
906,13014913
907,13014923
908,13014959
909,13014973
910,13014983
911,13015003
912,13015007
913,13015043
914,13015049
915,13015073
916,13015109
917,13015117
918,13015127
919,13015129
920,13015151
921,13015153
922,13015181
923,13015187
924,13015213
925,13015241
926,13015267
927,13015273
928,13015279
929,13015291
930,13015333
931,13015339
932,13015351
933,13015357
934,13015391
935,13015423
936,13015427
937,13015433
938,13015439
939,13015441
940,13015451
941,13015469
942,13015501
943,13015517
944,13015531
945,13015537
946,13015549
947,13015559
948,13015571
949,13015579
950,13015603
951,13015609
952,13015619
953,13015633
954,13015643
955,13015669
956,13015721
957,13015729
958,13015733
959,13015759
960,13015763
961,13015777
962,13015781
963,13015789
964,13015831
965,13015837
966,13015921
967,13015943
968,13015949
969,13015963
970,13015967
971,13015979
972,13015991
973,13016009
974,13016011
975,13016021
976,13016027
977,13016051
978,13016053
979,13016071
980,13016093
981,13016117
982,13016123
983,13016141
984,13016149
985,13016177
986,13016189
987,13016207
988,13016209
989,13016231
990,13016239
991,13016243
992,13016251
993,13016257
994,13016261
995,13016281
996,13016293
997,13016299
998,13016327
999,13016371
1000,13016431
1001,13016449
1002,13016473
1003,13016477
1004,13016513
1005,13016519
1006,13016561
1007,13016567
1008,13016569
1009,13016587
1010,13016599
1011,13016623
1012,13016677
1013,13016681
1014,13016687
1015,13016699
1016,13016719
1017,13016723
1018,13016741
1019,13016743
1020,13016749
1021,13016753
1022,13016771
1023,13016797
1024,13016813
1025,13016819
1026,13016867
1027,13016891
1028,13016893
1029,13016903
1030,13016923
1031,13016929
1032,13016953
1033,13016963
1034,13016987
1035,13016999
1036,13017029
1037,13017031
1038,13017079
1039,13017091
1040,13017097
1041,13017101
1042,13017113
1043,13017127
