,primes
0,4000037
1,4000039
2,4000043
3,4000063
4,4000067
5,4000079
6,4000081
7,4000093
8,4000133
9,4000153
10,4000159
11,4000169
12,4000189
13,4000237
14,4000261
15,4000267
16,4000273
17,4000277
18,4000291
19,4000301
20,4000303
21,4000309
22,4000343
23,4000357
24,4000361
25,4000379
26,4000439
27,4000489
28,4000511
29,4000523
30,4000541
31,4000543
32,4000553
33,4000561
34,4000567
35,4000573
36,4000589
37,4000631
38,4000649
39,4000651
40,4000669
41,4000673
42,4000679
43,4000691
44,4000693
45,4000709
46,4000723
47,4000741
48,4000747
49,4000751
50,4000813
51,4000823
52,4000853
53,4000861
54,4000879
55,4000883
56,4000889
57,4000897
58,4000901
59,4000907
60,4000937
61,4000939
62,4000949
63,4000951
64,4000957
65,4000979
66,4000987
67,4000993
68,4001003
69,4001009
70,4001017
71,4001027
72,4001029
73,4001059
74,4001071
75,4001089
76,4001111
77,4001117
78,4001119
79,4001141
80,4001147
81,4001167
82,4001177
83,4001183
84,4001197
85,4001213
86,4001219
87,4001227
88,4001237
89,4001243
90,4001269
91,4001303
92,4001339
93,4001357
94,4001369
95,4001383
96,4001399
97,4001407
98,4001411
99,4001453
100,4001461
101,4001467
102,4001483
103,4001509
104,4001521
105,4001527
106,4001531
107,4001549
108,4001551
109,4001561
110,4001567
111,4001593
112,4001597
113,4001603
114,4001611
115,4001617
116,4001629
117,4001639
118,4001689
119,4001713
120,4001719
121,4001741
122,4001743
123,4001771
124,4001779
125,4001791
126,4001807
127,4001827
128,4001831
129,4001849
130,4001863
131,4001867
132,4001873
133,4001891
134,4001939
135,4001947
136,4001999
137,4002001
138,4002013
139,4002017
140,4002041
141,4002043
142,4002049
143,4002067
144,4002077
145,4002101
146,4002109
147,4002113
148,4002127
149,4002137
150,4002143
151,4002169
152,4002197
153,4002209
154,4002221
155,4002223
156,4002239
157,4002247
158,4002263
159,4002269
160,4002281
161,4002301
162,4002307
163,4002329
164,4002337
165,4002353
166,4002389
167,4002403
168,4002431
169,4002457
170,4002499
171,4002527
172,4002547
173,4002553
174,4002563
175,4002571
176,4002577
177,4002611
178,4002631
179,4002641
180,4002643
181,4002671
182,4002679
183,4002709
184,4002721
185,4002727
186,4002743
187,4002773
188,4002797
189,4002811
190,4002821
191,4002829
192,4002833
193,4002839
194,4002847
195,4002857
196,4002877
197,4002893
198,4002907
199,4002917
200,4002923
201,4002949
202,4002959
203,4002961
204,4002979
205,4002983
206,4002991
207,4002997
208,4003001
209,4003019
210,4003033
211,4003039
212,4003057
213,4003079
214,4003099
215,4003121
216,4003133
217,4003147
218,4003151
219,4003187
220,4003201
221,4003213
222,4003231
223,4003253
224,4003271
225,4003273
226,4003291
227,4003297
228,4003333
229,4003361
230,4003387
231,4003397
232,4003423
233,4003427
234,4003453
235,4003459
236,4003501
237,4003513
238,4003523
239,4003529
240,4003577
241,4003579
242,4003663
243,4003667
244,4003669
245,4003697
246,4003709
247,4003717
248,4003729
249,4003757
250,4003763
251,4003781
252,4003793
253,4003819
254,4003841
255,4003847
256,4003861
257,4003871
258,4003873
259,4003877
260,4003913
261,4003939
262,4003949
263,4003963
264,4003973
265,4003981
266,4003999
267,4004009
268,4004023
269,4004057
270,4004069
271,4004081
272,4004087
273,4004089
274,4004137
275,4004141
276,4004179
277,4004191
278,4004207
279,4004213
280,4004219
281,4004227
282,4004237
283,4004249
284,4004267
285,4004279
286,4004281
287,4004293
288,4004339
289,4004359
290,4004387
291,4004393
292,4004417
293,4004449
294,4004453
295,4004489
296,4004509
297,4004513
298,4004527
299,4004579
300,4004591
301,4004597
302,4004617
303,4004629
304,4004653
305,4004659
306,4004669
307,4004677
308,4004681
309,4004683
310,4004699
311,4004713
312,4004717
313,4004731
314,4004753
315,4004773
316,4004779
317,4004789
318,4004807
319,4004821
320,4004837
321,4004851
322,4004867
323,4004873
324,4004881
325,4004887
326,4004909
327,4004933
328,4004939
329,4004951
330,4004989
331,4005019
332,4005049
333,4005091
334,4005119
335,4005121
336,4005137
337,4005173
338,4005203
339,4005223
340,4005229
341,4005233
342,4005241
343,4005271
344,4005301
345,4005307
346,4005317
347,4005341
348,4005343
349,4005347
350,4005367
351,4005373
352,4005377
353,4005433
354,4005457
355,4005467
356,4005499
357,4005527
358,4005539
359,4005553
360,4005613
361,4005619
362,4005643
363,4005649
364,4005653
365,4005691
366,4005733
367,4005767
368,4005769
369,4005791
370,4005817
371,4005821
372,4005839
373,4005847
374,4005889
375,4005893
376,4005901
377,4005917
378,4005943
379,4005959
380,4005971
381,4005977
382,4005983
383,4006001
384,4006007
385,4006019
386,4006039
387,4006063
388,4006091
389,4006097
390,4006103
391,4006109
392,4006129
393,4006133
394,4006141
395,4006153
396,4006183
397,4006201
398,4006229
399,4006231
400,4006241
401,4006243
402,4006253
403,4006259
404,4006273
405,4006307
406,4006309
407,4006319
408,4006333
409,4006337
410,4006349
411,4006351
412,4006361
413,4006363
414,4006381
415,4006403
416,4006411
417,4006417
418,4006423
419,4006451
420,4006463
421,4006477
422,4006481
423,4006489
424,4006517
425,4006523
426,4006529
427,4006537
428,4006547
429,4006567
430,4006571
431,4006589
432,4006591
433,4006603
434,4006621
435,4006633
436,4006637
437,4006649
438,4006661
439,4006687
440,4006699
441,4006721
442,4006729
443,4006741
444,4006763
445,4006789
446,4006811
447,4006823
448,4006837
449,4006859
450,4006861
451,4006879
452,4006913
453,4006927
454,4006931
455,4006939
456,4006957
457,4006963
458,4006969
459,4006979
460,4006993
461,4007021
462,4007023
463,4007033
464,4007039
465,4007071
466,4007077
467,4007099
468,4007123
469,4007131
470,4007141
471,4007147
472,4007149
473,4007183
474,4007207
475,4007209
476,4007219
477,4007239
478,4007251
479,4007261
480,4007279
481,4007281
482,4007321
483,4007351
484,4007363
485,4007369
486,4007407
487,4007411
488,4007413
489,4007429
490,4007431
491,4007441
492,4007447
493,4007459
494,4007477
495,4007483
496,4007491
497,4007513
498,4007519
499,4007527
500,4007551
501,4007561
502,4007569
503,4007573
504,4007593
505,4007599
506,4007611
507,4007623
508,4007629
509,4007657
510,4007659
511,4007671
512,4007677
513,4007687
514,4007723
515,4007741
516,4007747
517,4007777
518,4007789
519,4007797
520,4007813
521,4007827
522,4007837
523,4007851
524,4007863
525,4007881
526,4007893
527,4007921
528,4007933
529,4007953
530,4007963
531,4007981
532,4007999
533,4008001
534,4008013
535,4008023
536,4008029
537,4008077
538,4008089
539,4008091
540,4008097
541,4008131
542,4008133
543,4008143
544,4008149
545,4008157
546,4008161
547,4008181
548,4008203
549,4008217
550,4008227
551,4008239
552,4008253
553,4008271
554,4008287
555,4008289
556,4008307
557,4008313
558,4008317
559,4008349
560,4008377
561,4008391
562,4008397
563,4008421
564,4008427
565,4008437
566,4008439
567,4008461
568,4008523
569,4008551
570,4008559
571,4008577
572,4008581
573,4008619
574,4008629
575,4008643
576,4008661
577,4008671
578,4008673
579,4008679
580,4008689
581,4008701
582,4008709
583,4008713
584,4008727
585,4008749
586,4008769
587,4008779
588,4008793
589,4008799
590,4008841
591,4008853
592,4008869
593,4008881
594,4008883
595,4008887
596,4008919
597,4008947
598,4008967
599,4008971
600,4008997
601,4009001
602,4009003
603,4009007
604,4009037
605,4009039
606,4009051
607,4009091
608,4009097
609,4009139
610,4009141
611,4009151
612,4009193
613,4009207
614,4009219
615,4009237
616,4009249
617,4009307
618,4009319
619,4009321
620,4009333
621,4009339
622,4009373
623,4009381
624,4009391
625,4009409
626,4009417
627,4009451
628,4009477
629,4009483
630,4009507
631,4009529
632,4009531
633,4009543
634,4009547
635,4009549
636,4009619
637,4009631
638,4009639
639,4009667
640,4009669
641,4009679
642,4009721
643,4009729
644,4009769
645,4009777
646,4009781
647,4009787
648,4009799
649,4009823
650,4009849
651,4009861
652,4009891
653,4009897
654,4009913
655,4009919
656,4009921
657,4009933
658,4009939
659,4009991
660,4010021
661,4010029
662,4010047
663,4010063
664,4010081
665,4010089
666,4010101
667,4010117
668,4010131
669,4010141
670,4010143
671,4010161
672,4010173
673,4010177
674,4010179
675,4010183
676,4010189
677,4010203
678,4010221
679,4010231
680,4010261
681,4010267
682,4010269
683,4010297
684,4010299
685,4010339
686,4010353
687,4010371
688,4010399
689,4010423
690,4010431
691,4010443
692,4010471
693,4010491
694,4010507
695,4010509
696,4010519
697,4010527
698,4010537
699,4010543
700,4010549
701,4010551
702,4010561
703,4010569
704,4010581
705,4010597
706,4010599
707,4010603
708,4010621
709,4010627
710,4010639
711,4010641
