,primes
0,18000041
1,18000067
2,18000089
3,18000137
4,18000139
5,18000149
6,18000209
7,18000217
8,18000221
9,18000259
10,18000319
11,18000343
12,18000347
13,18000349
14,18000371
15,18000397
16,18000401
17,18000403
18,18000407
19,18000439
20,18000457
21,18000469
22,18000473
23,18000527
24,18000533
25,18000539
26,18000547
27,18000571
28,18000583
29,18000601
30,18000613
31,18000623
32,18000629
33,18000643
34,18000649
35,18000679
36,18000683
37,18000709
38,18000721
39,18000727
40,18000737
41,18000751
42,18000757
43,18000767
44,18000769
45,18000779
46,18000797
47,18000803
48,18000811
49,18000817
50,18000821
51,18000869
52,18000877
53,18000883
54,18000887
55,18000889
56,18000893
57,18000901
58,18000919
59,18000937
60,18000947
61,18000949
62,18000971
63,18000989
64,18001031
65,18001033
66,18001057
67,18001069
68,18001073
69,18001099
70,18001117
71,18001121
72,18001153
73,18001183
74,18001187
75,18001201
76,18001213
77,18001237
78,18001253
79,18001259
80,18001261
81,18001271
82,18001273
83,18001307
84,18001339
85,18001343
86,18001349
87,18001367
88,18001381
89,18001393
90,18001409
91,18001427
92,18001441
93,18001447
94,18001457
95,18001471
96,18001507
97,18001513
98,18001519
99,18001537
100,18001541
101,18001567
102,18001579
103,18001591
104,18001597
105,18001601
106,18001631
107,18001639
108,18001673
109,18001681
110,18001693
111,18001723
112,18001729
113,18001811
114,18001817
115,18001843
116,18001849
117,18001853
118,18001859
119,18001871
120,18001891
121,18001901
122,18001909
123,18001931
124,18001961
125,18001969
126,18001981
127,18001999
128,18002003
129,18002009
130,18002051
131,18002053
132,18002059
133,18002111
134,18002129
135,18002141
136,18002161
137,18002189
138,18002233
139,18002249
140,18002273
141,18002293
142,18002389
143,18002393
144,18002401
145,18002419
146,18002437
147,18002447
148,18002449
149,18002471
150,18002477
151,18002483
152,18002489
153,18002497
154,18002513
155,18002527
156,18002561
157,18002573
158,18002587
159,18002597
160,18002641
161,18002651
162,18002657
163,18002659
164,18002717
165,18002737
166,18002771
167,18002807
168,18002837
169,18002839
170,18002843
171,18002849
172,18002851
173,18002891
174,18002903
175,18002911
176,18002917
177,18002921
178,18002923
179,18002969
180,18002989
181,18002993
182,18003001
183,18003019
184,18003023
185,18003067
186,18003079
187,18003121
188,18003131
189,18003133
190,18003137
191,18003163
192,18003169
193,18003191
194,18003217
195,18003247
196,18003253
197,18003259
198,18003269
199,18003299
200,18003313
201,18003341
202,18003361
203,18003367
204,18003371
205,18003373
206,18003379
207,18003407
208,18003413
209,18003449
210,18003509
211,18003511
212,18003533
213,18003539
214,18003589
215,18003593
216,18003599
217,18003607
218,18003617
219,18003691
220,18003701
221,18003703
222,18003737
223,18003743
224,18003749
225,18003757
226,18003763
227,18003787
228,18003803
229,18003823
230,18003827
231,18003841
232,18003847
233,18003859
234,18003883
235,18003893
236,18003913
237,18003949
238,18003989
239,18003991
240,18004013
241,18004033
242,18004061
243,18004067
244,18004081
245,18004121
246,18004171
247,18004187
248,18004213
249,18004249
250,18004279
251,18004291
252,18004313
253,18004319
254,18004321
255,18004367
256,18004369
257,18004373
258,18004379
259,18004417
260,18004463
261,18004477
262,18004507
263,18004529
264,18004537
265,18004541
266,18004579
267,18004601
268,18004627
269,18004639
270,18004661
271,18004673
272,18004687
273,18004691
274,18004697
275,18004703
276,18004733
277,18004739
278,18004747
279,18004759
280,18004801
281,18004813
282,18004871
283,18004879
284,18004897
285,18004919
286,18004933
287,18004937
288,18004957
289,18004963
290,18004991
291,18004999
292,18005041
293,18005047
294,18005101
295,18005129
296,18005147
297,18005161
298,18005177
299,18005189
300,18005233
301,18005249
302,18005257
303,18005269
304,18005279
305,18005287
306,18005291
307,18005333
308,18005353
309,18005357
310,18005381
311,18005399
312,18005401
313,18005411
314,18005419
315,18005423
316,18005447
317,18005453
318,18005467
319,18005473
320,18005497
321,18005503
322,18005509
323,18005563
324,18005579
325,18005591
326,18005593
327,18005621
328,18005623
329,18005627
330,18005633
331,18005641
332,18005651
333,18005657
334,18005681
335,18005707
336,18005731
337,18005753
338,18005783
339,18005807
340,18005809
341,18005821
342,18005843
343,18005861
344,18005879
345,18005881
346,18005899
347,18005909
348,18005927
349,18005959
350,18005963
351,18005969
352,18005971
353,18005983
354,18005989
355,18005993
356,18006017
357,18006019
358,18006031
359,18006059
360,18006073
361,18006113
362,18006127
363,18006137
364,18006193
365,18006221
366,18006227
367,18006259
368,18006277
369,18006283
370,18006299
371,18006323
372,18006337
373,18006347
374,18006353
375,18006371
376,18006377
377,18006389
378,18006413
379,18006431
380,18006479
381,18006481
382,18006491
383,18006497
384,18006557
385,18006559
386,18006613
387,18006617
388,18006643
389,18006647
390,18006649
391,18006673
392,18006683
393,18006701
394,18006713
395,18006721
396,18006739
397,18006743
398,18006763
399,18006839
400,18006881
401,18006887
402,18006899
403,18006917
404,18006931
405,18006943
406,18006971
407,18006973
408,18006979
409,18006997
410,18007013
411,18007021
412,18007037
413,18007039
414,18007061
415,18007111
416,18007133
417,18007151
418,18007169
419,18007201
420,18007207
421,18007237
422,18007243
423,18007247
424,18007259
425,18007273
426,18007277
427,18007291
428,18007303
429,18007343
430,18007357
431,18007361
432,18007447
433,18007453
434,18007469
435,18007489
436,18007499
437,18007501
438,18007519
439,18007529
440,18007537
441,18007547
442,18007553
443,18007601
444,18007609
445,18007663
446,18007697
447,18007723
448,18007727
449,18007729
450,18007739
451,18007741
452,18007747
453,18007771
454,18007783
455,18007817
456,18007823
457,18007831
458,18007849
459,18007853
460,18007883
461,18007889
462,18007901
463,18007907
464,18007939
465,18007963
466,18007973
467,18008017
468,18008021
469,18008027
470,18008033
471,18008041
472,18008071
473,18008093
474,18008113
475,18008131
476,18008153
477,18008161
478,18008167
479,18008189
480,18008197
481,18008209
482,18008213
483,18008231
484,18008279
485,18008293
486,18008311
487,18008339
488,18008351
489,18008363
490,18008377
491,18008383
492,18008387
493,18008413
494,18008467
495,18008479
496,18008483
497,18008503
498,18008519
499,18008533
500,18008539
501,18008579
502,18008597
503,18008621
504,18008633
505,18008647
506,18008651
507,18008657
508,18008663
509,18008687
510,18008689
511,18008693
512,18008777
513,18008801
514,18008819
515,18008821
516,18008833
517,18008843
518,18008857
519,18008867
520,18008869
521,18008911
522,18008917
523,18008989
524,18008993
525,18009031
526,18009049
527,18009059
528,18009073
529,18009107
530,18009119
531,18009133
532,18009143
533,18009151
534,18009163
535,18009179
536,18009181
537,18009191
538,18009197
539,18009223
540,18009227
541,18009259
542,18009287
543,18009289
544,18009323
545,18009401
546,18009403
547,18009421
548,18009461
549,18009463
550,18009469
551,18009479
552,18009503
553,18009521
554,18009527
555,18009539
556,18009547
557,18009553
558,18009557
559,18009569
560,18009583
561,18009631
562,18009637
563,18009659
564,18009661
565,18009679
566,18009683
567,18009763
568,18009821
569,18009829
570,18009833
571,18009857
572,18009881
573,18009889
574,18009907
575,18009917
576,18009923
577,18009949
578,18009973
579,18010001
580,18010007
581,18010019
582,18010037
583,18010051
584,18010061
585,18010063
586,18010079
587,18010093
588,18010099
589,18010103
590,18010117
591,18010121
592,18010147
593,18010151
594,18010199
595,18010211
596,18010217
597,18010229
598,18010241
599,18010243
600,18010313
601,18010319
602,18010339
603,18010367
604,18010373
605,18010381
606,18010387
607,18010451
608,18010457
609,18010481
610,18010483
611,18010501
612,18010547
613,18010549
614,18010571
615,18010579
616,18010583
617,18010589
618,18010607
619,18010609
620,18010627
621,18010631
622,18010637
623,18010639
624,18010661
625,18010687
626,18010691
627,18010693
628,18010697
629,18010723
630,18010757
631,18010781
632,18010787
633,18010819
634,18010829
635,18010877
636,18010891
637,18010901
638,18010903
639,18010913
640,18010919
641,18010963
642,18010981
643,18010991
644,18010997
645,18010999
646,18011009
647,18011017
648,18011033
649,18011039
650,18011101
651,18011113
652,18011137
653,18011153
654,18011167
655,18011179
656,18011207
657,18011219
658,18011237
659,18011239
660,18011243
661,18011261
662,18011299
663,18011303
664,18011309
665,18011317
666,18011333
667,18011359
