,primes
0,12000017
1,12000029
2,12000073
3,12000091
4,12000097
5,12000127
6,12000133
7,12000239
8,12000253
9,12000257
10,12000259
11,12000269
12,12000271
13,12000281
14,12000353
15,12000377
16,12000383
17,12000407
18,12000409
19,12000421
20,12000431
21,12000433
22,12000467
23,12000473
24,12000509
25,12000511
26,12000523
27,12000551
28,12000559
29,12000563
30,12000581
31,12000587
32,12000607
33,12000613
34,12000619
35,12000629
36,12000643
37,12000661
38,12000673
39,12000679
40,12000683
41,12000731
42,12000739
43,12000757
44,12000767
45,12000773
46,12000797
47,12000841
48,12000851
49,12000881
50,12000883
51,12000899
52,12000931
53,12000959
54,12000977
55,12000979
56,12001001
57,12001021
58,12001037
59,12001051
60,12001057
61,12001081
62,12001091
63,12001097
64,12001109
65,12001111
66,12001117
67,12001139
68,12001153
69,12001159
70,12001163
71,12001169
72,12001177
73,12001189
74,12001207
75,12001211
76,12001261
77,12001271
78,12001279
79,12001289
80,12001291
81,12001307
82,12001333
83,12001349
84,12001361
85,12001387
86,12001411
87,12001421
88,12001427
89,12001453
90,12001459
91,12001463
92,12001481
93,12001499
94,12001511
95,12001523
96,12001537
97,12001543
98,12001547
99,12001553
100,12001571
101,12001667
102,12001697
103,12001709
104,12001723
105,12001733
106,12001753
107,12001763
108,12001799
109,12001819
110,12001823
111,12001841
112,12001861
113,12001877
114,12001897
115,12001909
116,12001921
117,12001943
118,12001961
119,12001963
120,12001981
121,12001987
122,12001993
123,12001999
124,12002059
125,12002077
126,12002087
127,12002093
128,12002147
129,12002161
130,12002173
131,12002183
132,12002189
133,12002209
134,12002213
135,12002231
136,12002261
137,12002279
138,12002321
139,12002329
140,12002339
141,12002369
142,12002377
143,12002387
144,12002407
145,12002411
146,12002413
147,12002443
148,12002449
149,12002483
150,12002513
151,12002519
152,12002579
153,12002591
154,12002593
155,12002603
156,12002609
157,12002647
158,12002651
159,12002657
160,12002677
161,12002681
162,12002717
163,12002743
164,12002759
165,12002761
166,12002777
167,12002843
168,12002869
169,12002917
170,12002933
171,12002951
172,12002953
173,12002957
174,12002959
175,12002989
176,12003007
177,12003011
178,12003073
179,12003097
180,12003109
181,12003127
182,12003161
183,12003179
184,12003191
185,12003197
186,12003209
187,12003221
188,12003227
189,12003239
190,12003247
191,12003287
192,12003289
193,12003337
194,12003349
195,12003353
196,12003359
197,12003379
198,12003389
199,12003391
200,12003427
201,12003437
202,12003449
203,12003451
204,12003457
205,12003527
206,12003553
207,12003557
208,12003559
209,12003569
210,12003571
211,12003601
212,12003613
213,12003619
214,12003647
215,12003671
216,12003679
217,12003689
218,12003701
219,12003703
220,12003721
221,12003731
222,12003737
223,12003743
224,12003821
225,12003829
226,12003833
227,12003869
228,12003881
229,12003911
230,12003961
231,12003977
232,12003997
233,12004033
234,12004043
235,12004049
236,12004051
237,12004087
238,12004093
239,12004117
240,12004163
241,12004171
242,12004177
243,12004211
244,12004217
245,12004271
246,12004283
247,12004303
248,12004309
249,12004319
250,12004331
251,12004357
252,12004381
253,12004387
254,12004403
255,12004417
256,12004427
257,12004453
258,12004469
259,12004477
260,12004481
261,12004501
262,12004511
263,12004519
264,12004529
265,12004537
266,12004543
267,12004549
268,12004607
269,12004627
270,12004633
271,12004661
272,12004673
273,12004679
274,12004711
275,12004717
276,12004721
277,12004723
278,12004747
279,12004757
280,12004763
281,12004799
282,12004801
283,12004807
284,12004813
285,12004829
286,12004847
287,12004879
288,12004891
289,12004921
290,12004957
291,12004963
292,12004973
293,12004981
294,12004987
295,12004991
296,12004999
297,12005023
298,12005047
299,12005051
300,12005053
301,12005099
302,12005141
303,12005167
304,12005171
305,12005219
306,12005221
307,12005237
308,12005243
309,12005269
310,12005297
311,12005303
312,12005309
313,12005317
314,12005327
315,12005341
316,12005347
317,12005363
318,12005407
319,12005419
320,12005423
321,12005479
322,12005489
323,12005509
324,12005527
325,12005531
326,12005537
327,12005597
328,12005599
329,12005611
330,12005627
331,12005629
332,12005641
333,12005659
334,12005683
335,12005699
336,12005717
337,12005731
338,12005753
339,12005761
340,12005767
341,12005779
342,12005789
343,12005801
344,12005813
345,12005827
346,12005831
347,12005843
348,12005857
349,12005879
350,12005881
351,12005909
352,12005923
353,12005933
354,12005941
355,12005953
356,12005957
357,12005963
358,12006017
359,12006031
360,12006041
361,12006047
362,12006061
363,12006077
364,12006079
365,12006109
366,12006133
367,12006179
368,12006187
369,12006193
370,12006217
371,12006223
372,12006229
373,12006251
374,12006259
375,12006283
376,12006289
377,12006307
378,12006311
379,12006343
380,12006349
381,12006359
382,12006409
383,12006427
384,12006431
385,12006433
386,12006443
387,12006473
388,12006509
389,12006521
390,12006523
391,12006541
392,12006583
393,12006587
394,12006619
395,12006623
396,12006649
397,12006653
398,12006661
399,12006671
400,12006679
401,12006721
402,12006733
403,12006737
404,12006749
405,12006751
406,12006763
407,12006767
408,12006769
409,12006773
410,12006781
411,12006829
412,12006859
413,12006887
414,12006893
415,12006923
416,12006937
417,12006941
418,12006971
419,12006977
420,12007027
421,12007103
422,12007111
423,12007123
424,12007147
425,12007159
426,12007181
427,12007187
428,12007207
429,12007211
430,12007217
431,12007223
432,12007291
433,12007313
434,12007327
435,12007349
436,12007367
437,12007381
438,12007393
439,12007397
440,12007439
441,12007451
442,12007453
443,12007459
444,12007477
445,12007481
446,12007483
447,12007511
448,12007519
449,12007529
450,12007543
451,12007553
452,12007561
453,12007577
454,12007579
455,12007603
456,12007609
457,12007649
458,12007651
459,12007663
460,12007669
461,12007747
462,12007759
463,12007777
464,12007781
465,12007783
466,12007813
467,12007837
468,12007847
469,12007871
470,12007883
471,12007907
472,12007927
473,12007939
474,12007999
475,12008027
476,12008053
477,12008063
478,12008081
479,12008099
480,12008107
481,12008111
482,12008131
483,12008141
484,12008149
485,12008167
486,12008173
487,12008177
488,12008189
489,12008197
490,12008201
491,12008219
492,12008251
493,12008261
494,12008351
495,12008371
496,12008411
497,12008413
498,12008417
499,12008419
500,12008431
501,12008467
502,12008471
503,12008473
504,12008483
505,12008497
506,12008509
507,12008519
508,12008533
509,12008537
510,12008543
511,12008569
512,12008621
513,12008657
514,12008663
515,12008669
516,12008713
517,12008729
518,12008771
519,12008797
520,12008809
521,12008827
522,12008861
523,12008863
524,12008881
525,12008897
526,12008903
527,12008917
528,12008939
529,12008951
530,12008963
531,12008999
532,12009031
533,12009043
534,12009047
535,12009071
536,12009073
537,12009077
538,12009091
539,12009119
540,12009133
541,12009139
542,12009149
543,12009167
544,12009199
545,12009209
546,12009223
547,12009229
548,12009233
549,12009329
550,12009331
551,12009337
552,12009367
553,12009377
554,12009379
555,12009383
556,12009407
557,12009409
558,12009419
559,12009421
560,12009443
561,12009469
562,12009499
563,12009521
564,12009523
565,12009541
566,12009551
567,12009553
568,12009559
569,12009563
570,12009583
571,12009593
572,12009623
573,12009629
574,12009637
575,12009643
576,12009707
577,12009727
578,12009733
579,12009737
580,12009743
581,12009763
582,12009773
583,12009779
584,12009791
585,12009821
586,12009827
587,12009859
588,12009869
589,12009901
590,12009917
591,12009923
592,12009937
593,12009953
594,12009961
595,12009971
596,12009997
597,12010013
598,12010021
599,12010027
600,12010049
601,12010057
602,12010069
603,12010079
604,12010081
605,12010091
606,12010093
607,12010129
608,12010151
609,12010153
610,12010157
611,12010169
612,12010181
613,12010189
614,12010199
615,12010241
616,12010259
617,12010303
618,12010307
619,12010309
620,12010319
621,12010357
622,12010367
623,12010387
624,12010391
625,12010399
626,12010447
627,12010463
628,12010469
629,12010477
630,12010501
631,12010507
632,12010511
633,12010513
634,12010519
635,12010529
636,12010541
637,12010543
638,12010561
639,12010627
640,12010633
641,12010651
642,12010667
643,12010693
644,12010697
645,12010699
646,12010723
647,12010729
648,12010751
649,12010759
650,12010769
651,12010777
652,12010781
653,12010787
654,12010799
655,12010841
656,12010849
657,12010861
658,12010877
659,12010931
660,12010937
661,12010951
662,12010963
663,12011009
664,12011029
665,12011047
666,12011057
667,12011099
668,12011113
669,12011117
670,12011123
671,12011143
672,12011149
673,12011171
674,12011177
675,12011183
676,12011189
677,12011203
678,12011213
679,12011227
680,12011243
681,12011257
682,12011281
683,12011297
684,12011303
685,12011309
686,12011317
687,12011323
688,12011357
689,12011371
690,12011387
691,12011393
692,12011411
693,12011459
694,12011471
695,12011501
696,12011507
697,12011509
698,12011513
699,12011557
700,12011603
701,12011611
702,12011617
703,12011621
704,12011641
705,12011651
706,12011669
707,12011683
708,12011689
709,12011711
710,12011723
711,12011731
712,12011767
713,12011777
714,12011789
715,12011807
716,12011821
717,12011833
718,12011861
719,12011863
720,12011873
721,12011903
722,12011917
723,12011929
724,12011941
725,12011953
726,12011969
727,12011977
728,12011983
729,12012017
730,12012037
731,12012053
732,12012073
733,12012083
734,12012089
735,12012101
736,12012109
737,12012113
738,12012131
739,12012137
740,12012157
741,12012167
742,12012173
743,12012197
744,12012257
745,12012263
746,12012271
747,12012281
748,12012289
749,12012331
750,12012337
751,12012349
752,12012359
753,12012361
754,12012367
755,12012433
756,12012439
757,12012443
758,12012449
759,12012461
760,12012479
761,12012487
762,12012491
763,12012493
764,12012521
765,12012527
766,12012551
767,12012599
768,12012607
769,12012619
770,12012629
771,12012643
772,12012677
773,12012743
774,12012809
775,12012817
776,12012851
777,12012859
778,12012881
779,12012887
780,12012893
781,12012907
782,12012919
783,12012941
784,12012967
785,12012971
786,12013009
787,12013013
788,12013019
789,12013021
790,12013069
791,12013081
792,12013087
793,12013091
794,12013097
795,12013103
796,12013109
797,12013117
798,12013189
799,12013201
800,12013207
801,12013219
802,12013223
803,12013229
804,12013259
805,12013273
806,12013283
807,12013303
808,12013307
809,12013321
810,12013333
811,12013361
812,12013363
813,12013367
814,12013381
815,12013411
816,12013427
817,12013433
818,12013447
819,12013459
820,12013471
821,12013481
822,12013499
823,12013501
824,12013517
825,12013531
826,12013541
827,12013549
828,12013553
829,12013571
830,12013579
831,12013583
832,12013591
833,12013601
834,12013621
835,12013637
836,12013663
837,12013699
838,12013733
839,12013753
840,12013759
841,12013763
842,12013769
843,12013777
844,12013787
845,12013847
846,12013867
847,12013873
848,12013877
849,12013891
850,12013901
851,12013919
852,12013931
853,12013949
854,12013973
855,12013997
856,12014003
857,12014017
858,12014039
859,12014059
860,12014063
861,12014117
862,12014153
863,12014161
864,12014173
865,12014201
866,12014203
867,12014209
868,12014221
869,12014269
870,12014287
871,12014309
872,12014311
873,12014339
874,12014341
875,12014357
876,12014363
877,12014369
878,12014371
879,12014419
880,12014437
881,12014447
882,12014449
883,12014477
884,12014503
885,12014521
886,12014531
887,12014537
888,12014539
889,12014609
890,12014627
891,12014633
892,12014663
893,12014687
894,12014689
895,12014693
896,12014713
897,12014731
898,12014747
899,12014749
900,12014789
901,12014797
902,12014803
903,12014813
904,12014837
905,12014839
906,12014843
907,12014861
908,12014867
909,12014881
910,12014921
911,12014929
912,12014957
913,12014999
914,12015001
915,12015013
916,12015041
917,12015067
918,12015071
919,12015079
920,12015083
921,12015097
922,12015139
923,12015167
924,12015169
925,12015181
926,12015187
927,12015191
928,12015203
929,12015217
930,12015229
931,12015233
932,12015257
933,12015271
934,12015281
935,12015287
936,12015301
937,12015307
938,12015359
939,12015373
940,12015427
941,12015431
942,12015433
943,12015439
944,12015457
945,12015461
946,12015469
947,12015473
948,12015511
949,12015529
950,12015551
951,12015557
