,primes
0,10000019
1,10000079
2,10000103
3,10000121
4,10000139
5,10000141
6,10000169
7,10000189
8,10000223
9,10000229
10,10000247
11,10000253
12,10000261
13,10000271
14,10000303
15,10000339
16,10000349
17,10000357
18,10000363
19,10000379
20,10000439
21,10000451
22,10000453
23,10000457
24,10000481
25,10000511
26,10000537
27,10000583
28,10000591
29,10000609
30,10000643
31,10000651
32,10000657
33,10000667
34,10000687
35,10000691
36,10000721
37,10000723
38,10000733
39,10000741
40,10000747
41,10000759
42,10000763
43,10000769
44,10000789
45,10000799
46,10000813
47,10000819
48,10000831
49,10000849
50,10000867
51,10000871
52,10000873
53,10000877
54,10000891
55,10000931
56,10000943
57,10000961
58,10000967
59,10000987
60,10000993
61,10001009
62,10001053
63,10001081
64,10001093
65,10001107
66,10001119
67,10001203
68,10001207
69,10001209
70,10001213
71,10001221
72,10001227
73,10001231
74,10001237
75,10001261
76,10001269
77,10001281
78,10001311
79,10001347
80,10001357
81,10001363
82,10001399
83,10001401
84,10001419
85,10001441
86,10001443
87,10001461
88,10001473
89,10001483
90,10001501
91,10001521
92,10001531
93,10001533
94,10001567
95,10001569
96,10001587
97,10001603
98,10001617
99,10001659
100,10001687
101,10001701
102,10001707
103,10001713
104,10001759
105,10001777
106,10001779
107,10001791
108,10001801
109,10001807
110,10001813
111,10001819
112,10001821
113,10001833
114,10001837
115,10001861
116,10001881
117,10001891
118,10001903
119,10001921
120,10001963
121,10002007
122,10002017
123,10002019
124,10002029
125,10002053
126,10002059
127,10002061
128,10002067
129,10002077
130,10002121
131,10002127
132,10002133
133,10002149
134,10002191
135,10002197
136,10002199
137,10002203
138,10002257
139,10002259
140,10002277
141,10002283
142,10002287
143,10002323
144,10002331
145,10002347
146,10002397
147,10002403
148,10002407
149,10002431
150,10002437
151,10002439
152,10002449
153,10002463
154,10002481
155,10002521
156,10002527
157,10002529
158,10002547
159,10002563
160,10002571
161,10002589
162,10002599
163,10002623
164,10002649
165,10002653
166,10002659
167,10002661
168,10002667
169,10002731
170,10002761
171,10002763
172,10002779
173,10002791
174,10002803
175,10002809
176,10002823
177,10002829
178,10002833
179,10002847
180,10002859
181,10002871
182,10002887
183,10002929
184,10002943
185,10002959
186,10002983
187,10003001
188,10003003
189,10003027
190,10003031
191,10003043
192,10003073
193,10003087
194,10003121
195,10003127
196,10003159
197,10003181
198,10003193
199,10003199
200,10003223
201,10003237
202,10003247
203,10003277
204,10003337
205,10003351
206,10003363
207,10003369
208,10003373
209,10003417
210,10003439
211,10003457
212,10003471
213,10003489
214,10003501
215,10003517
216,10003529
217,10003541
218,10003559
219,10003561
220,10003571
221,10003583
222,10003601
223,10003613
224,10003639
225,10003657
226,10003673
227,10003681
228,10003699
229,10003717
230,10003723
231,10003729
232,10003733
233,10003739
234,10003757
235,10003759
236,10003783
237,10003787
238,10003831
239,10003859
240,10003879
241,10003891
242,10003897
243,10003943
244,10003951
245,10003957
246,10003999
247,10004017
248,10004039
249,10004047
250,10004063
251,10004119
252,10004147
253,10004153
254,10004191
255,10004201
256,10004207
257,10004231
258,10004243
259,10004261
260,10004263
261,10004273
262,10004297
263,10004299
264,10004303
265,10004311
266,10004329
267,10004341
268,10004377
269,10004383
270,10004387
271,10004399
272,10004411
273,10004447
274,10004459
275,10004461
276,10004479
277,10004497
278,10004513
279,10004521
280,10004543
281,10004557
282,10004573
283,10004597
284,10004611
285,10004627
286,10004629
287,10004647
288,10004663
289,10004669
290,10004693
291,10004707
292,10004719
293,10004801
294,10004809
295,10004831
296,10004833
297,10004851
298,10004879
299,10004881
300,10004921
301,10004923
302,10004941
303,10004947
304,10004983
305,10005007
306,10005011
307,10005013
308,10005019
309,10005041
310,10005053
311,10005089
312,10005091
313,10005119
314,10005143
315,10005167
316,10005169
317,10005179
318,10005209
319,10005217
320,10005227
321,10005241
322,10005251
323,10005263
324,10005277
325,10005293
326,10005323
327,10005329
328,10005337
329,10005349
330,10005361
331,10005371
332,10005379
333,10005389
334,10005421
335,10005427
336,10005431
337,10005451
338,10005473
339,10005487
340,10005497
341,10005509
342,10005511
343,10005539
344,10005559
345,10005581
346,10005601
347,10005607
348,10005623
349,10005629
350,10005631
351,10005641
352,10005661
353,10005679
354,10005683
355,10005703
356,10005727
357,10005731
358,10005773
359,10005791
360,10005823
361,10005829
362,10005833
363,10005857
364,10005859
365,10005871
366,10005881
367,10005883
368,10005887
369,10005929
370,10005937
371,10005953
372,10005967
373,10005973
374,10005977
375,10005997
376,10006001
377,10006039
378,10006043
379,10006063
380,10006067
381,10006097
382,10006109
383,10006111
384,10006121
385,10006151
386,10006163
387,10006177
388,10006187
389,10006201
390,10006207
391,10006261
392,10006267
393,10006277
394,10006289
395,10006303
396,10006307
397,10006313
398,10006333
399,10006349
400,10006351
401,10006417
402,10006427
403,10006429
404,10006463
405,10006481
406,10006499
407,10006511
408,10006519
409,10006547
410,10006567
411,10006603
412,10006627
413,10006631
414,10006643
415,10006649
416,10006657
417,10006663
418,10006699
419,10006721
420,10006741
421,10006751
422,10006757
423,10006781
424,10006793
425,10006823
426,10006849
427,10006861
428,10006873
429,10006883
430,10006933
431,10006937
432,10006957
433,10006973
434,10006987
435,10007021
436,10007051
437,10007077
438,10007083
439,10007087
440,10007143
441,10007147
442,10007159
443,10007161
444,10007177
445,10007183
446,10007191
447,10007201
448,10007267
449,10007269
450,10007273
451,10007293
452,10007297
453,10007303
454,10007311
455,10007317
456,10007329
457,10007341
458,10007359
459,10007401
460,10007419
461,10007423
462,10007429
463,10007443
464,10007479
465,10007489
466,10007533
467,10007537
468,10007539
469,10007561
470,10007563
471,10007593
472,10007653
473,10007659
474,10007681
475,10007687
476,10007689
477,10007693
478,10007707
479,10007719
480,10007741
481,10007771
482,10007773
483,10007801
484,10007819
485,10007839
486,10007867
487,10007869
488,10007873
489,10007887
490,10007897
491,10007953
492,10007969
493,10007971
494,10007983
495,10008023
496,10008067
497,10008073
498,10008083
499,10008101
500,10008113
501,10008137
502,10008179
503,10008199
504,10008217
505,10008221
506,10008247
507,10008263
508,10008281
509,10008283
510,10008311
511,10008329
512,10008353
513,10008367
514,10008371
515,10008391
516,10008403
517,10008409
518,10008419
519,10008437
520,10008487
521,10008491
522,10008511
523,10008533
524,10008539
525,10008541
526,10008547
527,10008553
528,10008571
529,10008599
530,10008617
531,10008623
532,10008643
533,10008667
534,10008727
535,10008731
536,10008769
537,10008773
538,10008781
539,10008821
540,10008827
541,10008847
542,10008853
543,10008881
544,10008917
