,primes
0,1000003
1,1000033
2,1000037
3,1000039
4,1000081
5,1000099
6,1000117
7,1000121
8,1000133
9,1000151
10,1000159
11,1000171
12,1000183
13,1000187
14,1000193
15,1000199
16,1000211
17,1000213
18,1000231
19,1000249
20,1000253
21,1000273
22,1000289
23,1000291
24,1000303
25,1000313
26,1000333
27,1000357
28,1000367
29,1000381
30,1000393
31,1000397
32,1000403
33,1000409
34,1000423
35,1000427
36,1000429
37,1000453
38,1000457
39,1000507
40,1000537
41,1000541
42,1000547
43,1000577
44,1000579
45,1000589
46,1000609
47,1000619
48,1000621
49,1000639
50,1000651
51,1000667
52,1000669
53,1000679
54,1000691
55,1000697
56,1000721
57,1000723
58,1000763
59,1000777
60,1000793
61,1000829
62,1000847
63,1000849
64,1000859
65,1000861
66,1000889
67,1000907
68,1000919
69,1000921
70,1000931
71,1000969
72,1000973
73,1000981
74,1000999
75,1001003
76,1001017
77,1001023
78,1001027
79,1001041
80,1001069
81,1001081
82,1001087
83,1001089
84,1001093
85,1001107
86,1001123
87,1001153
88,1001159
89,1001173
90,1001177
91,1001191
92,1001197
93,1001219
94,1001237
95,1001267
96,1001279
97,1001291
98,1001303
99,1001311
100,1001321
101,1001323
102,1001327
103,1001347
104,1001353
105,1001369
106,1001381
107,1001387
108,1001389
109,1001401
110,1001411
111,1001431
112,1001447
113,1001459
114,1001467
115,1001491
116,1001501
117,1001527
118,1001531
119,1001549
120,1001551
121,1001563
122,1001569
123,1001587
124,1001593
125,1001621
126,1001629
127,1001639
128,1001659
129,1001669
130,1001683
131,1001687
132,1001713
133,1001723
134,1001743
135,1001783
136,1001797
137,1001801
138,1001807
139,1001809
140,1001821
141,1001831
142,1001839
143,1001911
144,1001933
145,1001941
146,1001947
147,1001953
148,1001977
149,1001981
150,1001983
151,1001989
152,1002017
153,1002049
154,1002061
155,1002073
156,1002077
157,1002083
158,1002091
159,1002101
160,1002109
161,1002121
162,1002143
163,1002149
164,1002151
165,1002173
166,1002191
167,1002227
168,1002241
169,1002247
170,1002257
171,1002259
172,1002263
173,1002289
174,1002299
175,1002341
176,1002343
177,1002347
178,1002349
179,1002359
180,1002361
181,1002377
182,1002403
183,1002427
184,1002433
185,1002451
186,1002457
187,1002467
188,1002481
189,1002487
190,1002493
191,1002503
192,1002511
193,1002517
194,1002523
195,1002527
196,1002553
197,1002569
198,1002577
199,1002583
200,1002619
201,1002623
202,1002647
203,1002653
204,1002679
205,1002709
206,1002713
207,1002719
208,1002721
209,1002739
210,1002751
211,1002767
212,1002769
213,1002773
214,1002787
215,1002797
216,1002809
217,1002817
218,1002821
219,1002851
220,1002853
221,1002857
222,1002863
223,1002871
224,1002887
225,1002893
226,1002899
227,1002913
228,1002917
229,1002929
230,1002931
231,1002973
232,1002979
233,1003001
234,1003003
235,1003019
236,1003039
237,1003049
238,1003087
239,1003091
240,1003097
241,1003103
242,1003109
243,1003111
244,1003133
245,1003141
246,1003193
247,1003199
248,1003201
249,1003241
250,1003259
251,1003273
252,1003279
253,1003291
254,1003307
255,1003337
256,1003349
257,1003351
258,1003361
259,1003363
260,1003367
261,1003369
262,1003381
263,1003397
264,1003411
265,1003417
266,1003433
267,1003463
268,1003469
269,1003507
270,1003517
271,1003543
272,1003549
273,1003589
274,1003601
275,1003609
276,1003619
277,1003621
278,1003627
279,1003631
280,1003679
281,1003693
282,1003711
283,1003729
284,1003733
285,1003741
286,1003747
287,1003753
288,1003757
289,1003763
290,1003771
291,1003787
292,1003817
293,1003819
294,1003841
295,1003879
296,1003889
297,1003897
298,1003907
299,1003909
300,1003913
301,1003931
302,1003943
303,1003957
304,1003963
305,1004027
306,1004033
307,1004053
308,1004057
309,1004063
310,1004077
311,1004089
312,1004117
313,1004119
314,1004137
315,1004141
316,1004161
317,1004167
318,1004209
319,1004221
320,1004233
321,1004273
322,1004279
323,1004287
324,1004293
325,1004303
326,1004317
327,1004323
328,1004363
329,1004371
330,1004401
331,1004429
332,1004441
333,1004449
334,1004453
335,1004461
336,1004477
337,1004483
338,1004501
339,1004527
340,1004537
341,1004551
342,1004561
343,1004567
344,1004599
345,1004651
346,1004657
347,1004659
348,1004669
349,1004671
350,1004677
351,1004687
352,1004723
353,1004737
354,1004743
355,1004747
356,1004749
357,1004761
358,1004779
359,1004797
360,1004873
361,1004903
362,1004911
363,1004917
364,1004963
365,1004977
366,1004981
367,1004987
368,1005007
369,1005013
370,1005019
371,1005029
372,1005041
373,1005049
374,1005071
375,1005073
376,1005079
377,1005101
378,1005107
379,1005131
380,1005133
381,1005143
382,1005161
383,1005187
384,1005203
385,1005209
386,1005217
387,1005223
388,1005229
389,1005239
390,1005241
391,1005269
392,1005287
393,1005293
394,1005313
395,1005317
396,1005331
397,1005349
398,1005359
399,1005371
400,1005373
401,1005391
402,1005409
403,1005413
404,1005427
405,1005437
406,1005439
407,1005457
408,1005467
409,1005481
410,1005493
411,1005503
412,1005527
413,1005541
414,1005551
415,1005553
416,1005581
417,1005593
418,1005617
419,1005619
420,1005637
421,1005643
422,1005647
423,1005661
424,1005677
425,1005679
426,1005701
427,1005709
428,1005751
429,1005761
430,1005821
431,1005827
432,1005833
433,1005883
434,1005911
435,1005913
436,1005931
437,1005937
438,1005959
439,1005971
440,1005989
441,1006003
442,1006007
443,1006021
444,1006037
445,1006063
446,1006087
447,1006091
448,1006123
449,1006133
450,1006147
451,1006151
452,1006153
453,1006163
454,1006169
455,1006171
456,1006177
457,1006189
458,1006193
459,1006217
460,1006219
461,1006231
462,1006237
463,1006241
464,1006249
465,1006253
466,1006267
467,1006279
468,1006301
469,1006303
470,1006307
471,1006309
472,1006331
473,1006333
474,1006337
475,1006339
476,1006351
477,1006361
478,1006367
479,1006391
480,1006393
481,1006433
482,1006441
483,1006463
484,1006469
485,1006471
486,1006493
487,1006507
488,1006513
489,1006531
490,1006543
491,1006547
492,1006559
493,1006583
494,1006589
495,1006609
496,1006613
497,1006633
498,1006637
499,1006651
500,1006711
501,1006721
502,1006739
503,1006751
504,1006769
505,1006781
506,1006783
507,1006799
508,1006847
509,1006853
510,1006861
511,1006877
512,1006879
513,1006883
514,1006891
515,1006897
516,1006933
517,1006937
