,primes
0,8000009
1,8000017
2,8000023
3,8000033
4,8000051
5,8000053
6,8000063
7,8000071
8,8000087
9,8000099
10,8000101
11,8000117
12,8000119
13,8000141
14,8000171
15,8000173
16,8000189
17,8000219
18,8000221
19,8000231
20,8000261
21,8000309
22,8000323
23,8000339
24,8000357
25,8000359
26,8000401
27,8000407
28,8000411
29,8000413
30,8000431
31,8000437
32,8000441
33,8000479
34,8000507
35,8000519
36,8000533
37,8000543
38,8000561
39,8000579
40,8000599
41,8000609
42,8000611
43,8000627
44,8000633
45,8000651
46,8000677
47,8000683
48,8000689
49,8000719
50,8000747
51,8000749
52,8000753
53,8000771
54,8000789
55,8000791
56,8000801
57,8000807
58,8000809
59,8000819
60,8000831
61,8000869
62,8000879
63,8000887
64,8000891
65,8000893
66,8000899
67,8000911
68,8000921
69,8000947
70,8000953
71,8000963
72,8000977
73,8000981
74,8000983
75,8000989
76,8001029
77,8001047
78,8001107
79,8001157
80,8001163
81,8001173
82,8001179
83,8001197
84,8001229
85,8001241
86,8001247
87,8001269
88,8001277
89,8001281
90,8001289
91,8001293
92,8001307
93,8001347
94,8001359
95,8001491
96,8001517
97,8001533
98,8001541
99,8001551
100,8001559
101,8001571
102,8001589
103,8001599
104,8001607
105,8001619
106,8001647
107,8001659
108,8001661
109,8001667
110,8001727
111,8001737
112,8001739
113,8001779
114,8001787
115,8001811
116,8001823
117,8001839
118,8001841
119,8001857
120,8001859
121,8001863
122,8001871
123,8001893
124,8001899
125,8001911
126,8001949
127,8001971
128,8001991
129,8002003
130,8002009
131,8002013
132,8002051
133,8002067
134,8002069
135,8002073
136,8002103
137,8002117
138,8002151
139,8002177
140,8002193
141,8002199
142,8002201
143,8002219
144,8002243
145,8002259
146,8002261
147,8002271
148,8002277
149,8002283
150,8002297
151,8002303
152,8002349
153,8002381
154,8002399
155,8002409
156,8002411
157,8002441
158,8002493
159,8002507
160,8002513
161,8002517
162,8002543
163,8002559
164,8002573
165,8002627
166,8002639
167,8002649
168,8002663
169,8002679
170,8002691
171,8002697
172,8002721
173,8002741
174,8002747
175,8002751
176,8002759
177,8002769
178,8002783
179,8002793
180,8002823
181,8002829
182,8002837
183,8002843
184,8002847
185,8002931
186,8002961
187,8002987
188,8003027
189,8003029
190,8003033
191,8003041
192,8003059
193,8003069
194,8003071
195,8003087
196,8003089
197,8003111
198,8003119
199,8003143
200,8003167
201,8003197
202,8003201
203,8003227
204,8003231
205,8003251
206,8003257
207,8003263
208,8003273
209,8003297
210,8003309
211,8003381
212,8003419
213,8003423
214,8003431
215,8003459
216,8003483
217,8003491
218,8003497
219,8003509
220,8003521
221,8003531
222,8003537
223,8003539
224,8003561
225,8003573
226,8003587
227,8003591
228,8003629
229,8003641
230,8003657
231,8003659
232,8003663
233,8003669
234,8003687
235,8003717
236,8003741
237,8003777
238,8003813
239,8003819
240,8003843
241,8003857
242,8003861
243,8003867
244,8003869
245,8003873
246,8003893
247,8003899
248,8003909
249,8003927
250,8003981
251,8003987
252,8004011
253,8004013
254,8004047
255,8004067
256,8004071
257,8004079
258,8004083
259,8004091
260,8004097
261,8004103
262,8004119
263,8004121
264,8004133
265,8004151
266,8004163
267,8004179
268,8004181
269,8004193
270,8004211
271,8004221
272,8004223
273,8004257
274,8004259
275,8004277
276,8004281
277,8004313
278,8004383
279,8004401
280,8004413
281,8004419
282,8004427
283,8004443
284,8004449
285,8004457
286,8004463
287,8004487
288,8004511
289,8004547
290,8004559
291,8004583
292,8004613
293,8004629
294,8004631
295,8004649
296,8004653
297,8004673
298,8004677
299,8004679
300,8004697
301,8004709
302,8004743
303,8004781
304,8004797
305,8004803
306,8004817
307,8004823
308,8004853
309,8004869
310,8004877
311,8004889
312,8004901
313,8004911
314,8004917
315,8004949
316,8004973
317,8004979
318,8005003
319,8005007
320,8005027
321,8005051
322,8005097
323,8005103
324,8005117
325,8005121
326,8005133
327,8005139
328,8005141
329,8005169
330,8005183
331,8005187
332,8005211
333,8005241
334,8005243
335,8005271
336,8005301
337,8005337
338,8005339
339,8005343
340,8005367
341,8005379
342,8005391
343,8005397
344,8005411
345,8005423
346,8005429
347,8005483
348,8005493
349,8005499
350,8005511
351,8005519
352,8005523
353,8005531
354,8005549
355,8005559
356,8005573
357,8005603
358,8005643
359,8005649
360,8005663
361,8005667
362,8005681
363,8005693
364,8005717
365,8005721
366,8005729
367,8005757
368,8005799
369,8005819
370,8005831
371,8005841
372,8005853
373,8005873
374,8005891
375,8005903
376,8005913
377,8005927
378,8005957
379,8006003
380,8006017
381,8006039
382,8006057
383,8006077
384,8006081
385,8006083
386,8006101
387,8006107
388,8006137
389,8006149
390,8006177
391,8006179
392,8006203
393,8006209
394,8006221
395,8006237
396,8006279
397,8006281
398,8006287
399,8006329
400,8006333
401,8006347
402,8006363
403,8006387
404,8006437
405,8006441
406,8006443
407,8006447
408,8006459
409,8006483
410,8006513
411,8006549
412,8006561
413,8006563
414,8006569
415,8006597
416,8006611
417,8006623
418,8006629
419,8006633
420,8006641
421,8006651
422,8006683
423,8006699
424,8006749
425,8006753
426,8006797
427,8006819
428,8006821
429,8006827
430,8006857
431,8006861
432,8006863
433,8006891
434,8006893
435,8006899
436,8006903
437,8006909
438,8006939
439,8006941
440,8006989
441,8007001
442,8007011
443,8007019
444,8007047
445,8007053
446,8007071
447,8007089
448,8007091
449,8007121
450,8007127
451,8007143
452,8007173
453,8007193
454,8007199
455,8007211
456,8007229
457,8007271
458,8007283
459,8007299
460,8007313
461,8007319
462,8007353
463,8007359
464,8007383
465,8007401
466,8007403
467,8007407
468,8007413
469,8007431
470,8007449
471,8007463
472,8007487
473,8007491
474,8007497
475,8007499
476,8007541
477,8007551
478,8007553
479,8007557
480,8007581
481,8007599
482,8007613
483,8007617
484,8007631
485,8007647
486,8007667
487,8007673
488,8007679
489,8007689
490,8007691
491,8007709
492,8007733
493,8007743
494,8007781
495,8007803
496,8007809
497,8007821
498,8007829
499,8007851
500,8007859
501,8007869
502,8007871
503,8007917
504,8007931
505,8007943
506,8007991
507,8008009
508,8008081
509,8008093
510,8008103
511,8008109
512,8008123
513,8008127
514,8008157
515,8008159
516,8008181
517,8008211
518,8008229
519,8008237
520,8008249
521,8008267
522,8008279
523,8008289
524,8008313
525,8008327
526,8008331
527,8008337
528,8008349
529,8008369
530,8008373
531,8008381
532,8008387
533,8008409
534,8008453
535,8008523
536,8008529
537,8008537
538,8008541
539,8008549
540,8008573
541,8008579
542,8008589
543,8008597
544,8008603
545,8008607
546,8008619
547,8008631
548,8008643
549,8008667
550,8008673
551,8008691
552,8008697
553,8008703
554,8008733
555,8008739
556,8008769
557,8008771
558,8008789
559,8008799
560,8008801
561,8008811
562,8008829
563,8008831
564,8008841
565,8008859
566,8008867
567,8008877
568,8008907
569,8008933
570,8008951
571,8008961
572,8008967
573,8009003
