,primes
0,24000001
1,24000019
2,24000037
3,24000049
4,24000077
5,24000083
6,24000089
7,24000113
8,24000131
9,24000143
10,24000203
11,24000233
12,24000239
13,24000241
14,24000253
15,24000257
16,24000259
17,24000281
18,24000289
19,24000299
20,24000307
21,24000329
22,24000341
23,24000373
24,24000377
25,24000391
26,24000443
27,24000469
28,24000517
29,24000533
30,24000547
31,24000577
32,24000589
33,24000593
34,24000611
35,24000623
36,24000637
37,24000643
38,24000653
39,24000659
40,24000677
41,24000689
42,24000709
43,24000737
44,24000749
45,24000761
46,24000763
47,24000791
48,24000797
49,24000811
50,24000817
51,24000829
52,24000839
53,24000853
54,24000883
55,24000887
56,24000917
57,24000919
58,24000931
59,24000943
60,24000959
61,24000961
62,24000967
63,24001007
64,24001051
65,24001091
66,24001111
67,24001147
68,24001151
69,24001169
70,24001177
71,24001189
72,24001207
73,24001217
74,24001231
75,24001247
76,24001279
77,24001283
78,24001291
79,24001309
80,24001321
81,24001339
82,24001361
83,24001363
84,24001379
85,24001381
86,24001403
87,24001423
88,24001459
89,24001499
90,24001507
91,24001517
92,24001559
93,24001561
94,24001639
95,24001669
96,24001709
97,24001711
98,24001717
99,24001721
100,24001723
101,24001727
102,24001729
103,24001751
104,24001771
105,24001793
106,24001799
107,24001801
108,24001823
109,24001829
110,24001837
111,24001871
112,24001961
113,24001973
114,24001979
115,24002051
116,24002071
117,24002081
118,24002093
119,24002119
120,24002123
121,24002129
122,24002141
123,24002161
124,24002171
125,24002191
126,24002197
127,24002201
128,24002243
129,24002287
130,24002291
131,24002309
132,24002311
133,24002323
134,24002357
135,24002369
136,24002371
137,24002387
138,24002389
139,24002393
140,24002417
141,24002437
142,24002479
143,24002483
144,24002497
145,24002509
146,24002513
147,24002519
148,24002527
149,24002533
150,24002543
151,24002551
152,24002581
153,24002597
154,24002599
155,24002611
156,24002617
157,24002621
158,24002653
159,24002663
160,24002717
161,24002723
162,24002761
163,24002767
164,24002789
165,24002791
166,24002819
167,24002837
168,24002843
169,24002851
170,24002863
171,24002903
172,24002921
173,24002933
174,24002939
175,24002977
176,24003043
177,24003079
178,24003103
179,24003143
180,24003179
181,24003193
182,24003197
183,24003209
184,24003233
185,24003247
186,24003257
187,24003277
188,24003293
189,24003299
190,24003307
191,24003311
192,24003313
193,24003319
194,24003341
195,24003367
196,24003379
197,24003391
198,24003431
199,24003433
200,24003437
201,24003451
202,24003461
203,24003481
204,24003509
205,24003521
206,24003533
207,24003547
208,24003569
209,24003583
210,24003587
211,24003601
212,24003607
213,24003649
214,24003659
215,24003667
216,24003671
217,24003673
218,24003689
219,24003691
220,24003701
221,24003709
222,24003719
223,24003731
224,24003739
225,24003757
226,24003767
227,24003773
228,24003781
229,24003803
230,24003823
231,24003853
232,24003899
233,24003919
234,24003929
235,24003937
