,primes
0,15000017
1,15000031
2,15000053
3,15000067
4,15000079
5,15000127
6,15000131
7,15000151
8,15000157
9,15000169
10,15000173
11,15000179
12,15000203
13,15000211
14,15000233
15,15000257
16,15000287
17,15000299
18,15000317
19,15000343
20,15000353
21,15000361
22,15000389
23,15000407
24,15000413
25,15000451
26,15000457
27,15000487
28,15000499
29,15000509
30,15000521
31,15000523
32,15000527
33,15000533
34,15000581
35,15000607
36,15000617
37,15000631
38,15000649
39,15000659
40,15000677
41,15000703
42,15000751
43,15000779
44,15000781
45,15000829
46,15000847
47,15000877
48,15000889
49,15000901
50,15000911
51,15000913
52,15000929
53,15000967
54,15000971
55,15000977
56,15001001
57,15001027
58,15001031
59,15001043
60,15001057
61,15001081
62,15001087
63,15001111
64,15001139
65,15001141
66,15001159
67,15001183
68,15001187
69,15001201
70,15001211
71,15001213
72,15001219
73,15001223
74,15001249
75,15001289
76,15001291
77,15001321
78,15001339
79,15001351
80,15001373
81,15001387
82,15001403
83,15001409
84,15001417
85,15001421
86,15001447
87,15001471
88,15001487
89,15001499
90,15001549
91,15001559
92,15001577
93,15001579
94,15001603
95,15001607
96,15001619
97,15001627
98,15001639
99,15001733
100,15001741
101,15001759
102,15001781
103,15001793
104,15001807
105,15001813
106,15001829
107,15001841
108,15001867
109,15001873
110,15001891
111,15001897
112,15001901
113,15001907
114,15001933
115,15001937
116,15001951
117,15001967
118,15001979
119,15001981
120,15001991
121,15002017
122,15002027
123,15002033
124,15002059
125,15002063
126,15002069
127,15002089
128,15002093
129,15002123
130,15002173
131,15002189
132,15002201
133,15002209
134,15002213
135,15002231
136,15002249
137,15002263
138,15002287
139,15002291
140,15002293
141,15002297
142,15002321
143,15002327
144,15002389
145,15002423
146,15002441
147,15002443
148,15002453
149,15002473
150,15002489
151,15002497
152,15002531
153,15002539
154,15002587
155,15002591
156,15002621
157,15002623
158,15002627
159,15002633
160,15002639
161,15002677
162,15002731
163,15002753
164,15002777
165,15002803
166,15002807
167,15002833
168,15002849
169,15002851
170,15002863
171,15002873
172,15002879
173,15002881
174,15002899
175,15002941
176,15002957
177,15002963
178,15002987
179,15003013
180,15003031
181,15003041
182,15003047
183,15003049
184,15003059
185,15003067
186,15003091
187,15003097
188,15003137
189,15003139
190,15003193
191,15003203
192,15003221
193,15003227
194,15003229
195,15003251
196,15003269
197,15003277
198,15003319
199,15003343
200,15003371
201,15003379
202,15003409
203,15003413
204,15003419
205,15003421
206,15003437
207,15003451
208,15003467
209,15003479
210,15003497
211,15003509
212,15003551
213,15003557
214,15003587
215,15003607
216,15003619
217,15003629
218,15003631
219,15003671
220,15003679
221,15003697
222,15003713
223,15003719
224,15003727
225,15003733
226,15003757
227,15003761
228,15003773
229,15003839
230,15003841
231,15003871
232,15003881
233,15003893
234,15003931
235,15003953
236,15003973
237,15004001
238,15004007
239,15004009
240,15004021
241,15004037
242,15004043
243,15004051
244,15004063
245,15004069
246,15004097
247,15004123
248,15004127
249,15004133
250,15004147
251,15004163
252,15004169
253,15004189
254,15004207
255,15004219
256,15004267
257,15004273
258,15004331
259,15004337
260,15004369
261,15004373
262,15004411
263,15004427
264,15004439
265,15004447
266,15004477
267,15004511
268,15004519
269,15004531
270,15004537
271,15004541
272,15004543
273,15004631
274,15004663
275,15004673
276,15004697
277,15004709
278,15004711
279,15004723
280,15004733
281,15004739
282,15004741
283,15004751
284,15004753
285,15004793
286,15004849
287,15004859
288,15004877
289,15004879
290,15004903
291,15004909
292,15004921
293,15004933
294,15004949
295,15004973
296,15004991
297,15005009
298,15005047
299,15005051
300,15005063
301,15005071
302,15005083
303,15005087
304,15005129
305,15005149
306,15005153
307,15005161
308,15005183
309,15005191
310,15005219
311,15005227
312,15005233
313,15005251
314,15005261
315,15005279
316,15005281
317,15005299
318,15005327
319,15005357
320,15005363
321,15005371
322,15005401
323,15005423
