,primes
0,5000011
1,5000077
2,5000081
3,5000087
4,5000101
5,5000111
6,5000113
7,5000153
8,5000161
9,5000167
10,5000197
11,5000201
12,5000213
13,5000251
14,5000257
15,5000263
16,5000299
17,5000311
18,5000321
19,5000339
20,5000381
21,5000389
22,5000399
23,5000423
24,5000473
25,5000491
26,5000503
27,5000519
28,5000539
29,5000543
30,5000549
31,5000551
32,5000563
33,5000581
34,5000623
35,5000627
36,5000651
37,5000657
38,5000687
39,5000689
40,5000701
41,5000713
42,5000741
43,5000747
44,5000759
45,5000761
46,5000777
47,5000783
48,5000791
49,5000797
50,5000851
51,5000861
52,5000881
53,5000903
54,5000917
55,5000923
56,5000927
57,5000929
58,5000939
59,5000977
60,5000981
61,5000987
62,5000993
63,5001001
64,5001019
65,5001023
66,5001049
67,5001053
68,5001067
69,5001071
70,5001083
71,5001089
72,5001119
73,5001121
74,5001127
75,5001163
76,5001167
77,5001173
78,5001193
79,5001197
80,5001203
81,5001233
82,5001251
83,5001277
84,5001289
85,5001299
86,5001301
87,5001307
88,5001319
89,5001343
90,5001361
91,5001379
92,5001391
93,5001397
94,5001407
95,5001413
96,5001421
97,5001431
98,5001433
99,5001443
100,5001461
101,5001481
102,5001487
103,5001523
104,5001539
105,5001547
106,5001559
107,5001593
108,5001629
109,5001643
110,5001653
111,5001671
112,5001679
113,5001691
114,5001701
115,5001707
116,5001739
117,5001743
118,5001749
119,5001761
120,5001767
121,5001779
122,5001809
123,5001907
124,5001911
125,5001923
126,5001967
127,5001979
128,5002001
129,5002003
130,5002051
131,5002057
132,5002093
133,5002103
134,5002133
135,5002157
136,5002189
137,5002211
138,5002219
139,5002223
140,5002229
141,5002237
142,5002241
143,5002259
144,5002273
145,5002313
146,5002321
147,5002331
148,5002373
149,5002379
150,5002391
151,5002457
152,5002463
153,5002489
154,5002499
155,5002507
156,5002519
157,5002537
158,5002541
159,5002553
160,5002561
161,5002579
162,5002583
163,5002637
164,5002639
165,5002649
166,5002651
167,5002691
168,5002721
169,5002729
170,5002741
171,5002747
172,5002771
173,5002801
174,5002817
175,5002841
176,5002843
177,5002847
178,5002859
179,5002883
180,5002889
181,5002901
182,5002903
183,5002927
184,5002939
185,5002979
186,5003003
187,5003039
188,5003071
189,5003077
190,5003081
191,5003101
192,5003111
193,5003113
194,5003123
195,5003143
196,5003191
197,5003203
198,5003227
199,5003231
200,5003239
201,5003249
202,5003261
203,5003263
204,5003267
205,5003303
206,5003309
207,5003329
208,5003371
209,5003387
210,5003407
211,5003429
212,5003459
213,5003477
214,5003483
215,5003503
216,5003507
217,5003513
218,5003519
219,5003539
220,5003543
221,5003549
222,5003591
223,5003597
224,5003633
225,5003653
226,5003657
227,5003659
228,5003671
229,5003699
230,5003701
231,5003711
232,5003717
233,5003737
234,5003743
235,5003749
236,5003759
237,5003771
238,5003773
239,5003809
240,5003813
241,5003819
242,5003827
243,5003837
244,5003839
245,5003881
246,5003893
247,5003909
248,5003923
249,5003951
250,5003959
251,5003963
252,5003969
253,5003981
254,5003983
255,5003993
256,5004007
257,5004017
258,5004019
259,5004031
260,5004053
261,5004059
262,5004067
263,5004071
264,5004073
265,5004089
266,5004119
267,5004121
268,5004127
269,5004143
270,5004149
271,5004157
272,5004193
273,5004217
274,5004221
275,5004227
276,5004281
277,5004323
278,5004359
279,5004367
280,5004401
281,5004403
282,5004437
283,5004451
284,5004457
285,5004491
286,5004539
287,5004553
288,5004569
289,5004599
290,5004611
291,5004653
292,5004677
293,5004679
294,5004697
295,5004707
296,5004721
297,5004739
298,5004751
299,5004757
300,5004767
