,primes
0,3000017
1,3000029
2,3000047
3,3000061
4,3000073
5,3000077
6,3000089
7,3000103
8,3000131
9,3000133
10,3000161
11,3000181
12,3000199
13,3000223
14,3000229
15,3000251
16,3000289
17,3000299
18,3000301
19,3000317
20,3000331
21,3000343
22,3000359
23,3000377
24,3000379
25,3000409
26,3000463
27,3000469
28,3000479
29,3000523
30,3000539
31,3000541
32,3000553
33,3000607
34,3000611
35,3000617
36,3000637
37,3000643
38,3000671
39,3000677
40,3000709
41,3000733
42,3000743
43,3000757
44,3000761
45,3000779
46,3000791
47,3000797
48,3000821
49,3000847
50,3000859
51,3000869
52,3000887
53,3000919
54,3000929
55,3000931
56,3000947
57,3000953
58,3000961
59,3000967
60,3000979
61,3000983
62,3001001
63,3001003
64,3001021
65,3001049
66,3001057
67,3001067
68,3001073
69,3001081
70,3001087
71,3001121
72,3001127
73,3001133
74,3001147
75,3001151
76,3001171
77,3001213
78,3001217
79,3001223
80,3001237
81,3001253
82,3001267
83,3001283
84,3001291
85,3001303
86,3001321
87,3001351
88,3001387
89,3001421
90,3001423
91,3001429
92,3001441
93,3001459
94,3001463
95,3001489
96,3001499
97,3001501
98,3001543
99,3001547
100,3001553
101,3001577
102,3001591
103,3001597
104,3001613
105,3001631
106,3001633
107,3001643
108,3001657
109,3001681
110,3001697
111,3001711
112,3001721
113,3001727
114,3001759
115,3001769
116,3001777
117,3001811
118,3001837
119,3001853
120,3001879
121,3001883
122,3001907
123,3001909
124,3001919
125,3001927
126,3001931
127,3001939
128,3001963
129,3001991
130,3002003
131,3002039
132,3002089
133,3002101
134,3002107
135,3002113
136,3002117
137,3002123
138,3002147
139,3002161
140,3002173
141,3002177
142,3002189
143,3002191
144,3002221
145,3002231
146,3002239
147,3002243
148,3002269
149,3002273
150,3002281
151,3002327
152,3002369
153,3002393
154,3002401
155,3002411
156,3002413
157,3002429
158,3002431
159,3002449
160,3002453
161,3002459
162,3002473
163,3002491
164,3002507
165,3002509
166,3002521
167,3002533
168,3002537
169,3002599
170,3002611
171,3002617
172,3002621
173,3002639
174,3002641
175,3002653
176,3002663
177,3002669
178,3002677
179,3002683
180,3002723
181,3002729
182,3002737
183,3002743
184,3002773
185,3002789
186,3002801
187,3002807
188,3002833
189,3002843
190,3002849
191,3002861
192,3002891
193,3002899
194,3002911
195,3002917
196,3002933
197,3002953
198,3002977
199,3002981
200,3003017
201,3003029
202,3003043
203,3003053
204,3003061
205,3003071
206,3003073
207,3003079
208,3003113
209,3003131
210,3003149
211,3003157
212,3003167
213,3003173
214,3003181
215,3003191
216,3003223
217,3003227
218,3003233
219,3003241
220,3003251
221,3003257
222,3003281
223,3003307
224,3003323
225,3003331
226,3003337
227,3003353
228,3003359
229,3003367
230,3003379
231,3003389
232,3003391
233,3003397
234,3003419
235,3003431
236,3003433
237,3003449
238,3003461
239,3003487
240,3003491
241,3003499
242,3003527
243,3003529
244,3003551
245,3003557
246,3003569
247,3003571
248,3003607
249,3003641
250,3003643
251,3003647
252,3003673
253,3003703
254,3003709
255,3003719
256,3003739
257,3003743
258,3003757
259,3003761
260,3003773
261,3003779
262,3003787
263,3003821
264,3003827
265,3003859
266,3003863
267,3003887
268,3003899
269,3003941
270,3003943
271,3003967
272,3003971
273,3003977
274,3003997
275,3004013
276,3004037
277,3004049
278,3004051
279,3004061
280,3004063
281,3004091
282,3004097
283,3004123
284,3004151
285,3004153
286,3004159
287,3004181
288,3004217
289,3004229
290,3004231
291,3004271
292,3004277
293,3004279
294,3004301
295,3004307
296,3004319
297,3004321
298,3004327
299,3004343
300,3004349
301,3004361
302,3004369
303,3004387
304,3004403
305,3004409
306,3004423
307,3004493
308,3004499
309,3004523
310,3004531
311,3004537
312,3004543
313,3004549
314,3004553
315,3004583
316,3004591
317,3004633
318,3004637
319,3004643
320,3004669
321,3004681
322,3004723
323,3004741
324,3004759
325,3004787
326,3004829
327,3004847
328,3004867
329,3004877
330,3004901
331,3004909
332,3004913
333,3004919
334,3004943
335,3004957
336,3004961
337,3004979
338,3004987
339,3004993
340,3005011
341,3005027
342,3005033
343,3005063
344,3005071
345,3005083
346,3005087
347,3005117
348,3005129
349,3005131
350,3005147
351,3005161
352,3005179
353,3005207
354,3005213
355,3005221
356,3005237
357,3005267
358,3005269
359,3005279
360,3005281
361,3005291
362,3005293
363,3005297
364,3005329
365,3005339
366,3005377
367,3005381
368,3005383
369,3005393
370,3005417
371,3005449
372,3005459
373,3005489
374,3005491
375,3005503
376,3005507
377,3005521
378,3005551
379,3005573
380,3005579
381,3005581
382,3005599
383,3005609
384,3005623
385,3005627
386,3005633
387,3005671
388,3005677
389,3005693
390,3005701
391,3005711
392,3005731
393,3005747
394,3005749
395,3005771
396,3005773
397,3005809
398,3005831
399,3005839
400,3005851
401,3005881
402,3005909
403,3005911
404,3005929
405,3005941
406,3005953
407,3005969
408,3005983
409,3005987
410,3005999
411,3006013
412,3006037
413,3006119
414,3006121
415,3006151
416,3006193
417,3006233
418,3006239
419,3006247
420,3006277
421,3006299
422,3006301
423,3006317
424,3006323
425,3006347
426,3006371
427,3006383
428,3006391
429,3006397
430,3006413
431,3006439
432,3006457
433,3006461
434,3006469
435,3006511
436,3006529
437,3006533
438,3006551
439,3006599
440,3006623
441,3006631
442,3006649
443,3006667
444,3006677
445,3006701
446,3006713
447,3006719
448,3006733
449,3006737
450,3006761
451,3006763
452,3006781
453,3006791
454,3006793
455,3006821
456,3006823
457,3006827
458,3006847
459,3006851
460,3006881
461,3006901
462,3006917
463,3006937
464,3006967
465,3006973
466,3006989
467,3007001
468,3007003
469,3007009
470,3007019
471,3007049
472,3007057
473,3007091
474,3007129
475,3007139
476,3007141
477,3007153
478,3007159
479,3007177
480,3007183
481,3007189
482,3007219
483,3007223
484,3007229
485,3007241
486,3007247
487,3007253
488,3007261
489,3007297
490,3007313
491,3007321
492,3007327
493,3007349
494,3007369
495,3007373
496,3007393
497,3007409
498,3007421
499,3007423
500,3007447
501,3007469
502,3007481
503,3007493
504,3007507
505,3007531
506,3007541
507,3007547
508,3007573
509,3007583
510,3007603
511,3007607
512,3007621
513,3007633
514,3007639
515,3007661
516,3007709
517,3007717
518,3007723
519,3007747
520,3007777
521,3007783
522,3007787
523,3007789
524,3007811
525,3007813
526,3007843
527,3007847
528,3007853
529,3007889
530,3007897
531,3007919
532,3007937
533,3007957
534,3007969
535,3007973
536,3007981
537,3007987
538,3008011
539,3008017
540,3008021
541,3008029
542,3008041
543,3008053
544,3008077
545,3008087
546,3008107
547,3008113
548,3008119
549,3008149
550,3008179
551,3008189
552,3008191
553,3008197
554,3008207
555,3008219
556,3008221
557,3008267
558,3008273
559,3008281
560,3008311
561,3008339
562,3008347
563,3008353
564,3008363
565,3008389
566,3008393
567,3008417
568,3008419
569,3008429
570,3008437
571,3008449
572,3008477
573,3008513
574,3008521
575,3008543
576,3008563
577,3008567
578,3008569
579,3008617
580,3008623
581,3008633
582,3008641
583,3008659
584,3008683
585,3008693
586,3008713
587,3008723
588,3008741
589,3008743
590,3008773
591,3008801
592,3008807
593,3008809
594,3008827
595,3008849
596,3008857
597,3008861
598,3008879
599,3008911
600,3008921
601,3008923
602,3008981
603,3009023
604,3009043
605,3009089
606,3009091
607,3009101
608,3009103
609,3009131
610,3009137
611,3009151
612,3009157
613,3009203
614,3009233
615,3009241
616,3009271
617,3009311
618,3009317
619,3009319
620,3009329
621,3009337
622,3009341
623,3009361
624,3009371
625,3009373
626,3009379
627,3009397
628,3009401
629,3009407
630,3009421
631,3009431
632,3009437
633,3009443
634,3009451
635,3009473
636,3009491
637,3009541
638,3009553
639,3009563
640,3009577
641,3009593
642,3009607
643,3009631
644,3009637
645,3009659
646,3009683
647,3009689
648,3009701
649,3009703
650,3009709
651,3009719
652,3009749
653,3009751
654,3009779
655,3009781
656,3009827
657,3009857
658,3009859
659,3009887
660,3009899
661,3009907
662,3009931
