,primes
0,6000011
1,6000023
2,6000041
3,6000047
4,6000053
5,6000061
6,6000073
7,6000101
8,6000103
9,6000109
10,6000119
11,6000121
12,6000149
13,6000157
14,6000173
15,6000191
16,6000199
17,6000221
18,6000229
19,6000233
20,6000271
21,6000277
22,6000283
23,6000301
24,6000307
25,6000317
26,6000343
27,6000373
28,6000377
29,6000389
30,6000403
31,6000427
32,6000431
33,6000457
34,6000479
35,6000481
36,6000503
37,6000529
38,6000551
39,6000557
40,6000569
41,6000571
42,6000581
43,6000611
44,6000619
45,6000641
46,6000653
47,6000679
48,6000703
49,6000733
50,6000773
51,6000793
52,6000803
53,6000809
54,6000821
55,6000823
56,6000829
57,6000853
58,6000857
59,6000859
60,6000889
61,6000893
62,6000899
63,6000937
64,6000961
65,6000977
66,6001013
67,6001019
68,6001033
69,6001043
70,6001049
71,6001063
72,6001069
73,6001087
74,6001109
75,6001147
76,6001157
77,6001189
78,6001201
79,6001217
80,6001249
81,6001253
82,6001271
83,6001277
84,6001291
85,6001297
86,6001339
87,6001343
88,6001351
89,6001427
90,6001433
91,6001439
92,6001447
93,6001453
94,6001469
95,6001483
96,6001517
97,6001531
98,6001547
99,6001577
100,6001601
101,6001609
102,6001613
103,6001627
104,6001669
105,6001673
106,6001679
107,6001717
108,6001727
109,6001741
110,6001747
111,6001757
112,6001763
113,6001789
114,6001819
115,6001829
116,6001903
117,6001907
118,6001909
119,6001921
120,6001937
121,6001939
122,6001981
123,6001991
124,6001997
125,6002033
126,6002047
127,6002053
128,6002063
129,6002083
130,6002089
131,6002093
132,6002111
133,6002123
134,6002131
135,6002137
136,6002153
137,6002179
138,6002201
139,6002203
140,6002209
141,6002237
142,6002239
143,6002257
144,6002273
145,6002281
146,6002291
147,6002357
148,6002363
149,6002369
150,6002371
151,6002383
152,6002387
153,6002389
154,6002429
155,6002431
156,6002453
157,6002467
158,6002489
159,6002509
160,6002519
161,6002527
162,6002539
163,6002573
164,6002599
165,6002603
166,6002617
167,6002627
168,6002629
169,6002641
170,6002653
171,6002669
172,6002677
173,6002693
174,6002707
175,6002723
176,6002729
177,6002741
178,6002767
179,6002849
180,6002861
181,6002869
182,6002881
183,6002891
184,6002903
185,6002911
186,6002951
187,6002987
188,6003001
189,6003007
190,6003043
191,6003047
192,6003059
193,6003077
194,6003079
195,6003083
196,6003089
197,6003113
198,6003143
199,6003197
200,6003199
201,6003211
202,6003223
203,6003241
204,6003247
205,6003251
206,6003281
207,6003293
208,6003313
209,6003323
210,6003331
211,6003341
212,6003379
213,6003407
214,6003409
215,6003419
216,6003443
217,6003497
218,6003511
219,6003521
220,6003527
221,6003539
222,6003581
223,6003607
224,6003623
225,6003643
226,6003649
227,6003659
228,6003661
229,6003719
230,6003727
231,6003757
232,6003761
233,6003769
234,6003793
235,6003797
236,6003821
237,6003853
238,6003857
239,6003859
240,6003871
241,6003883
242,6003887
243,6003889
244,6003901
245,6003913
246,6003929
247,6003931
248,6003947
249,6003967
250,6003983
251,6003997
252,6004001
253,6004007
254,6004013
