,primes
0,22000001
1,22000003
2,22000021
3,22000031
4,22000037
5,22000061
6,22000087
7,22000103
8,22000109
9,22000127
10,22000129
11,22000151
12,22000169
13,22000201
14,22000211
15,22000243
16,22000249
17,22000289
18,22000291
19,22000327
20,22000339
21,22000343
22,22000361
23,22000373
24,22000379
25,22000387
26,22000399
27,22000403
28,22000409
29,22000427
30,22000441
31,22000453
32,22000463
33,22000487
34,22000493
35,22000501
36,22000513
37,22000529
38,22000553
39,22000579
40,22000603
41,22000609
42,22000619
43,22000621
44,22000633
45,22000639
46,22000661
47,22000663
48,22000679
49,22000721
50,22000753
51,22000757
52,22000787
53,22000801
54,22000817
55,22000819
56,22000859
57,22000877
58,22000897
59,22000919
60,22000921
61,22000933
62,22000939
63,22000961
64,22000963
65,22001033
66,22001047
67,22001071
68,22001101
69,22001113
70,22001129
71,22001137
72,22001143
73,22001173
74,22001197
75,22001207
76,22001209
77,22001237
78,22001261
79,22001303
80,22001321
81,22001327
82,22001333
83,22001339
84,22001341
85,22001359
86,22001381
87,22001387
88,22001467
89,22001503
90,22001533
91,22001597
92,22001611
93,22001627
94,22001641
95,22001647
96,22001653
97,22001657
98,22001659
99,22001669
100,22001699
101,22001701
102,22001713
103,22001729
104,22001741
105,22001743
106,22001773
107,22001783
108,22001797
109,22001801
110,22001803
111,22001809
112,22001813
113,22001821
114,22001851
115,22001857
116,22001873
117,22001879
118,22001887
119,22001897
120,22001989
121,22001999
122,22002011
123,22002023
124,22002031
125,22002061
126,22002067
127,22002077
128,22002107
129,22002121
130,22002163
131,22002187
132,22002203
133,22002217
134,22002257
135,22002269
136,22002289
137,22002293
138,22002311
139,22002319
140,22002349
141,22002353
142,22002359
143,22002371
144,22002377
145,22002391
146,22002433
147,22002443
148,22002509
149,22002511
150,22002557
151,22002583
152,22002587
153,22002593
154,22002601
155,22002613
156,22002647
157,22002649
158,22002667
159,22002671
160,22002683
161,22002689
162,22002737
163,22002763
164,22002767
165,22002769
166,22002809
167,22002823
168,22002853
169,22002863
170,22002887
171,22002899
172,22002907
173,22002919
174,22002943
175,22002949
176,22002989
177,22002991
178,22003013
179,22003027
180,22003039
181,22003043
182,22003061
183,22003063
184,22003073
185,22003099
186,22003103
187,22003129
188,22003181
189,22003213
190,22003237
191,22003243
192,22003297
193,22003307
194,22003309
195,22003313
196,22003327
197,22003343
198,22003357
199,22003361
200,22003363
201,22003409
202,22003411
203,22003417
204,22003439
205,22003451
206,22003481
207,22003483
208,22003507
209,22003517
210,22003523
211,22003529
212,22003589
213,22003591
214,22003609
215,22003613
216,22003649
217,22003651
218,22003679
219,22003687
220,22003693
221,22003703
222,22003711
223,22003727
224,22003739
225,22003777
226,22003781
227,22003811
228,22003819
229,22003841
230,22003853
231,22003903
232,22003907
233,22003909
234,22003913
235,22003963
236,22003973
237,22003979
238,22004009
239,22004039
240,22004041
241,22004051
242,22004053
243,22004057
244,22004111
245,22004119
246,22004149
247,22004153
248,22004161
249,22004189
250,22004221
251,22004231
252,22004237
253,22004251
254,22004263
255,22004303
256,22004321
257,22004329
258,22004363
259,22004371
260,22004383
261,22004393
262,22004419
263,22004429
264,22004431
265,22004441
266,22004447
267,22004459
268,22004461
269,22004471
270,22004473
271,22004497
272,22004539
273,22004561
274,22004569
275,22004617
276,22004621
277,22004639
278,22004683
279,22004687
280,22004701
281,22004747
282,22004771
283,22004779
284,22004791
285,22004797
286,22004819
287,22004821
288,22004833
289,22004849
290,22004887
291,22004891
292,22004893
293,22004903
294,22004921
295,22004923
296,22004933
297,22004989
298,22005013
299,22005019
