,primes
0,7000003
1,7000009
2,7000033
3,7000057
4,7000061
5,7000069
6,7000087
7,7000109
8,7000121
9,7000127
10,7000129
11,7000157
12,7000163
13,7000171
14,7000181
15,7000219
16,7000241
17,7000249
18,7000267
19,7000297
20,7000309
21,7000313
22,7000333
23,7000337
24,7000351
25,7000373
26,7000391
27,7000429
28,7000459
29,7000517
30,7000519
31,7000523
32,7000541
33,7000573
34,7000577
35,7000589
36,7000619
37,7000633
38,7000657
39,7000661
40,7000663
41,7000673
42,7000703
43,7000727
44,7000739
45,7000751
46,7000757
47,7000793
48,7000811
49,7000831
50,7000841
51,7000849
52,7000913
53,7000943
54,7000969
55,7001003
56,7001011
57,7001021
58,7001041
59,7001047
60,7001051
61,7001069
62,7001077
63,7001083
64,7001087
65,7001089
66,7001107
67,7001123
68,7001213
69,7001221
70,7001233
71,7001237
72,7001249
73,7001273
74,7001279
75,7001287
76,7001311
77,7001317
78,7001327
79,7001341
80,7001347
81,7001359
82,7001369
83,7001377
84,7001387
85,7001411
86,7001413
87,7001429
88,7001431
89,7001437
90,7001479
91,7001507
92,7001513
93,7001537
94,7001581
95,7001587
96,7001597
97,7001639
98,7001653
99,7001663
100,7001669
101,7001681
102,7001689
103,7001713
104,7001723
105,7001767
106,7001779
107,7001783
108,7001803
109,7001831
110,7001851
111,7001879
112,7001887
113,7001893
114,7001921
115,7001923
116,7001927
117,7001999
118,7002019
119,7002029
120,7002041
121,7002053
122,7002059
123,7002067
124,7002071
125,7002101
126,7002109
127,7002131
128,7002157
129,7002161
130,7002167
131,7002197
132,7002199
133,7002217
134,7002221
135,7002223
136,7002227
137,7002257
138,7002293
139,7002319
140,7002337
141,7002353
142,7002367
143,7002377
144,7002383
145,7002397
146,7002409
147,7002433
148,7002439
149,7002449
150,7002451
151,7002491
152,7002529
153,7002539
154,7002551
155,7002581
156,7002587
157,7002599
158,7002613
159,7002629
160,7002631
161,7002637
162,7002641
163,7002673
164,7002689
165,7002701
166,7002703
167,7002713
168,7002719
169,7002733
170,7002781
171,7002791
172,7002803
173,7002823
174,7002839
175,7002871
176,7002881
177,7002883
178,7002889
179,7002899
180,7002917
181,7002973
182,7002979
183,7002991
184,7003021
185,7003057
186,7003079
187,7003081
188,7003091
189,7003093
190,7003097
191,7003103
192,7003111
193,7003121
194,7003127
195,7003163
196,7003189
197,7003207
198,7003223
199,7003231
200,7003273
201,7003289
202,7003313
203,7003327
204,7003351
205,7003357
206,7003361
207,7003379
208,7003393
209,7003411
210,7003421
211,7003463
212,7003487
213,7003537
214,7003543
215,7003561
216,7003573
217,7003589
218,7003603
219,7003639
220,7003651
221,7003657
222,7003679
223,7003687
224,7003697
225,7003721
226,7003727
227,7003729
228,7003739
229,7003741
230,7003757
231,7003769
232,7003771
233,7003781
234,7003783
235,7003807
236,7003811
237,7003849
238,7003859
239,7003879
240,7003889
241,7003901
242,7003933
243,7003939
244,7003943
245,7003957
246,7003961
247,7003963
248,7003991
249,7003999
250,7004009
251,7004057
252,7004059
253,7004069
254,7004077
255,7004083
256,7004087
257,7004093
258,7004099
259,7004111
260,7004117
261,7004143
262,7004149
263,7004159
264,7004189
265,7004191
266,7004197
267,7004201
268,7004237
269,7004243
270,7004279
271,7004281
272,7004297
273,7004329
274,7004339
275,7004353
276,7004383
277,7004401
278,7004429
279,7004441
280,7004461
281,7004471
282,7004477
283,7004497
284,7004509
285,7004513
286,7004593
287,7004603
288,7004609
289,7004611
290,7004623
291,7004633
292,7004651
293,7004677
294,7004681
295,7004713
296,7004717
297,7004737
298,7004741
299,7004759
300,7004771
301,7004797
302,7004843
303,7004873
304,7004887
305,7004897
306,7004909
307,7004911
308,7004941
309,7005013
310,7005017
311,7005023
312,7005059
313,7005077
314,7005107
315,7005113
316,7005121
317,7005127
318,7005151
319,7005161
320,7005181
321,7005197
322,7005199
323,7005203
324,7005227
325,7005239
326,7005277
327,7005293
328,7005331
329,7005347
330,7005359
331,7005371
332,7005373
333,7005391
334,7005403
335,7005419
336,7005421
337,7005451
338,7005463
339,7005511
340,7005521
341,7005527
342,7005529
343,7005541
344,7005569
345,7005571
346,7005613
347,7005619
348,7005637
349,7005643
350,7005673
351,7005697
352,7005703
353,7005727
354,7005743
355,7005763
356,7005767
357,7005787
358,7005809
359,7005821
360,7005827
361,7005847
362,7005863
363,7005877
364,7005899
365,7005917
366,7005931
367,7005941
368,7005953
369,7005959
370,7005979
371,7005983
372,7005997
373,7006063
374,7006133
375,7006141
376,7006147
377,7006157
378,7006171
379,7006177
380,7006183
381,7006187
382,7006189
383,7006201
384,7006211
385,7006247
386,7006289
387,7006297
388,7006303
389,7006319
390,7006331
391,7006343
392,7006361
393,7006379
394,7006381
395,7006393
396,7006423
397,7006451
398,7006457
399,7006477
400,7006481
401,7006537
402,7006541
403,7006553
404,7006561
405,7006577
406,7006607
407,7006621
408,7006627
409,7006633
410,7006639
411,7006667
412,7006679
413,7006693
414,7006709
415,7006723
416,7006729
417,7006733
418,7006751
419,7006757
420,7006787
421,7006799
422,7006817
423,7006823
424,7006829
425,7006843
426,7006849
427,7006871
428,7006891
429,7006903
430,7006933
431,7006963
432,7006969
433,7006981
434,7006997
435,7006999
436,7007003
437,7007027
438,7007041
439,7007069
440,7007071
441,7007081
442,7007083
443,7007087
444,7007101
445,7007107
446,7007113
447,7007137
448,7007149
449,7007159
450,7007173
451,7007177
452,7007191
453,7007227
454,7007267
455,7007303
456,7007309
457,7007311
458,7007317
459,7007347
460,7007353
461,7007369
462,7007389
463,7007401
464,7007411
465,7007419
466,7007423
467,7007437
468,7007449
469,7007459
470,7007461
471,7007471
472,7007477
473,7007491
474,7007503
475,7007509
476,7007527
477,7007563
478,7007569
479,7007579
480,7007603
481,7007633
482,7007729
483,7007779
484,7007783
485,7007797
486,7007809
487,7007813
488,7007831
489,7007857
490,7007867
491,7007873
492,7007899
493,7007909
494,7007933
495,7007947
496,7007951
497,7007969
498,7007977
499,7007983
500,7007989
501,7007993
502,7008013
503,7008019
504,7008037
505,7008041
506,7008047
507,7008091
508,7008101
509,7008103
510,7008119
511,7008121
512,7008143
513,7008151
514,7008163
515,7008173
516,7008181
517,7008191
518,7008203
519,7008247
520,7008251
521,7008259
522,7008317
523,7008319
524,7008329
525,7008341
526,7008361
527,7008413
528,7008427
529,7008451
530,7008457
531,7008461
532,7008467
533,7008479
534,7008493
535,7008523
536,7008557
537,7008559
538,7008563
539,7008569
540,7008601
541,7008611
542,7008619
543,7008653
544,7008671
545,7008679
546,7008707
547,7008713
548,7008751
549,7008761
550,7008763
551,7008779
552,7008817
553,7008829
554,7008851
555,7008857
556,7008887
557,7008889
558,7008901
559,7008917
560,7008919
561,7008943
562,7008977
563,7009001
564,7009019
565,7009031
566,7009099
567,7009111
568,7009133
569,7009139
570,7009147
571,7009159
572,7009183
573,7009199
574,7009201
575,7009217
576,7009231
577,7009279
578,7009291
579,7009297
580,7009307
581,7009313
582,7009337
583,7009349
584,7009351
585,7009361
586,7009363
587,7009393
588,7009397
589,7009399
590,7009421
