,primes
0,2000003
1,2000029
2,2000039
3,2000081
4,2000083
5,2000093
6,2000107
7,2000113
8,2000143
9,2000147
10,2000153
11,2000177
12,2000209
13,2000221
14,2000227
15,2000249
16,2000261
17,2000269
18,2000281
19,2000291
20,2000293
21,2000303
22,2000309
23,2000321
24,2000329
25,2000351
26,2000353
27,2000371
28,2000381
29,2000387
30,2000389
31,2000393
32,2000413
33,2000417
34,2000423
35,2000429
36,2000447
37,2000497
38,2000503
39,2000519
40,2000521
41,2000539
42,2000573
43,2000597
44,2000629
45,2000633
46,2000639
47,2000653
48,2000659
49,2000671
50,2000689
51,2000693
52,2000699
53,2000717
54,2000731
55,2000753
56,2000767
57,2000807
58,2000813
59,2000863
60,2000903
61,2000927
62,2000939
63,2000941
64,2000953
65,2000959
66,2000963
67,2000969
68,2000989
69,2001037
70,2001049
71,2001067
72,2001073
73,2001079
74,2001101
75,2001127
76,2001163
77,2001179
78,2001191
79,2001199
80,2001211
81,2001229
82,2001247
83,2001269
84,2001281
85,2001313
86,2001331
87,2001347
88,2001353
89,2001361
90,2001371
91,2001397
92,2001407
93,2001409
94,2001413
95,2001421
96,2001449
97,2001451
98,2001463
99,2001469
100,2001481
101,2001487
102,2001509
103,2001511
104,2001533
105,2001539
106,2001541
107,2001547
108,2001553
109,2001581
110,2001583
111,2001611
112,2001617
113,2001619
114,2001641
115,2001653
116,2001673
117,2001677
118,2001691
119,2001697
120,2001709
121,2001721
122,2001731
123,2001751
124,2001787
125,2001793
126,2001799
127,2001809
128,2001833
129,2001847
130,2001911
131,2001919
132,2001953
133,2001977
134,2001997
135,2002001
136,2002009
137,2002019
138,2002061
139,2002079
140,2002093
141,2002151
142,2002157
143,2002159
144,2002199
145,2002207
146,2002211
147,2002223
148,2002229
149,2002249
150,2002267
151,2002289
152,2002303
153,2002307
154,2002313
155,2002327
156,2002331
157,2002333
158,2002337
159,2002339
160,2002349
161,2002361
162,2002373
163,2002387
164,2002397
165,2002417
166,2002453
167,2002459
168,2002471
169,2002523
170,2002531
171,2002547
172,2002577
173,2002579
174,2002603
175,2002607
176,2002613
177,2002621
178,2002643
179,2002661
180,2002667
181,2002669
182,2002673
183,2002681
184,2002723
185,2002739
186,2002747
187,2002783
188,2002799
189,2002807
190,2002823
191,2002829
192,2002841
193,2002853
194,2002867
195,2002877
196,2002883
197,2002907
198,2002919
199,2002927
200,2002937
201,2002939
202,2002967
203,2002969
204,2002993
205,2002997
206,2003009
207,2003011
208,2003021
209,2003033
210,2003051
211,2003081
212,2003083
213,2003087
214,2003119
215,2003149
216,2003153
217,2003159
218,2003191
219,2003201
220,2003213
221,2003237
222,2003257
223,2003269
224,2003273
225,2003279
226,2003299
227,2003321
228,2003329
229,2003359
230,2003363
231,2003381
232,2003387
233,2003411
234,2003447
235,2003459
236,2003471
237,2003483
238,2003497
239,2003509
240,2003557
241,2003591
242,2003593
243,2003597
244,2003611
245,2003621
246,2003627
247,2003633
248,2003641
249,2003647
250,2003653
251,2003663
252,2003669
253,2003681
254,2003723
255,2003741
256,2003753
257,2003761
258,2003767
259,2003801
260,2003803
261,2003819
262,2003839
263,2003857
264,2003861
265,2003863
266,2003879
267,2003917
268,2003927
269,2003951
270,2003959
271,2003971
272,2003999
273,2004001
274,2004007
275,2004017
276,2004029
277,2004043
278,2004049
279,2004073
280,2004083
281,2004091
282,2004097
283,2004109
284,2004131
285,2004133
286,2004137
287,2004209
288,2004227
289,2004251
290,2004269
291,2004271
292,2004293
293,2004313
294,2004341
295,2004347
296,2004349
297,2004377
298,2004383
299,2004421
300,2004433
301,2004461
302,2004463
303,2004479
304,2004511
305,2004529
306,2004539
307,2004559
308,2004571
309,2004577
310,2004593
311,2004601
312,2004631
313,2004641
314,2004647
315,2004661
316,2004679
317,2004701
318,2004713
319,2004719
320,2004731
321,2004757
322,2004763
323,2004773
324,2004787
325,2004791
326,2004803
327,2004809
328,2004811
329,2004817
330,2004829
331,2004833
332,2004839
333,2004851
334,2004881
335,2004901
336,2004911
337,2004917
338,2004931
339,2004943
340,2004953
341,2004983
342,2004991
343,2005001
344,2005019
345,2005021
346,2005027
347,2005033
348,2005037
349,2005039
350,2005057
351,2005061
352,2005079
353,2005103
354,2005121
355,2005139
356,2005151
357,2005181
358,2005183
359,2005189
360,2005193
361,2005207
362,2005229
363,2005231
364,2005249
365,2005261
366,2005277
367,2005319
368,2005331
369,2005343
370,2005369
371,2005373
372,2005387
373,2005397
374,2005417
375,2005427
376,2005429
377,2005441
378,2005447
379,2005453
380,2005459
381,2005489
382,2005499
383,2005519
384,2005547
385,2005559
386,2005567
387,2005571
388,2005579
389,2005613
390,2005667
391,2005673
392,2005681
393,2005687
394,2005693
395,2005723
396,2005739
397,2005747
398,2005763
399,2005769
400,2005777
401,2005789
402,2005799
403,2005831
404,2005841
405,2005859
406,2005873
407,2005877
408,2005879
409,2005903
410,2005919
411,2005931
412,2005937
413,2005943
414,2005957
415,2005981
416,2006009
417,2006021
418,2006033
419,2006071
420,2006087
421,2006093
422,2006111
423,2006141
424,2006159
425,2006183
426,2006189
427,2006197
428,2006201
429,2006231
430,2006239
431,2006273
432,2006287
433,2006297
434,2006299
435,2006317
436,2006339
437,2006341
438,2006353
439,2006369
440,2006377
441,2006387
442,2006393
443,2006429
444,2006437
445,2006441
446,2006443
447,2006447
448,2006461
449,2006483
450,2006489
451,2006491
452,2006503
453,2006507
454,2006549
455,2006573
456,2006579
457,2006603
458,2006611
459,2006623
460,2006651
461,2006657
462,2006659
463,2006671
464,2006677
465,2006689
466,2006707
467,2006779
468,2006783
469,2006791
470,2006813
471,2006831
472,2006869
473,2006891
474,2006897
475,2006899
476,2006903
477,2006923
478,2006929
479,2006959
480,2007001
481,2007011
482,2007013
483,2007029
484,2007043
485,2007053
486,2007067
487,2007077
488,2007079
489,2007091
490,2007097
491,2007107
492,2007133
493,2007149
494,2007151
495,2007193
496,2007199
497,2007209
498,2007227
499,2007251
500,2007259
501,2007263
502,2007277
503,2007301
504,2007307
505,2007329
506,2007347
507,2007353
508,2007359
509,2007389
510,2007391
511,2007403
512,2007431
513,2007433
514,2007437
515,2007451
516,2007487
517,2007491
518,2007493
519,2007497
520,2007503
521,2007517
522,2007527
523,2007539
524,2007553
525,2007557
526,2007589
527,2007611
528,2007613
529,2007617
530,2007619
531,2007623
532,2007631
533,2007659
534,2007661
535,2007679
536,2007697
537,2007701
538,2007703
539,2007721
540,2007737
541,2007763
542,2007767
543,2007769
544,2007773
545,2007791
546,2007823
547,2007827
548,2007851
549,2007869
550,2007871
551,2007881
552,2007883
553,2007899
554,2007911
555,2007913
556,2007917
557,2007919
558,2007949
559,2007959
560,2007961
561,2007979
562,2008003
563,2008033
564,2008043
565,2008049
566,2008051
567,2008063
568,2008067
569,2008079
570,2008081
571,2008103
572,2008121
573,2008141
574,2008147
575,2008151
576,2008189
577,2008213
578,2008219
579,2008231
580,2008241
581,2008247
582,2008271
583,2008277
584,2008289
585,2008297
586,2008309
587,2008313
588,2008327
589,2008333
590,2008339
591,2008343
592,2008367
593,2008373
594,2008379
595,2008393
596,2008403
597,2008421
598,2008427
599,2008439
600,2008441
601,2008469
602,2008477
603,2008481
604,2008483
605,2008493
606,2008529
607,2008553
608,2008571
609,2008621
610,2008637
611,2008663
612,2008673
613,2008679
614,2008691
615,2008697
616,2008709
617,2008717
618,2008729
619,2008739
620,2008763
621,2008777
622,2008781
623,2008793
624,2008807
625,2008817
626,2008823
627,2008871
628,2008879
629,2008883
630,2008901
631,2008933
632,2008939
633,2008949
634,2008961
635,2008973
636,2009011
637,2009039
638,2009069
639,2009083
640,2009093
641,2009107
642,2009113
643,2009167
644,2009171
645,2009173
646,2009191
647,2009209
648,2009219
649,2009233
650,2009239
651,2009243
652,2009251
653,2009299
654,2009311
655,2009317
656,2009321
657,2009333
658,2009339
659,2009377
660,2009387
661,2009393
662,2009407
663,2009437
664,2009461
665,2009467
666,2009489
667,2009503
668,2009509
669,2009537
670,2009543
671,2009593
672,2009603
673,2009639
674,2009647
675,2009669
676,2009713
677,2009719
678,2009731
679,2009737
680,2009747
681,2009759
682,2009771
683,2009783
684,2009789
685,2009807
686,2009827
687,2009831
688,2009857
689,2009867
690,2009869
691,2009873
692,2009879
693,2009881
694,2009897
695,2009911
696,2009921
697,2009923
698,2009957
699,2009971
700,2009977
701,2009981
702,2009983
703,2009989
704,2009999
705,2010017
706,2010023
707,2010031
708,2010037
709,2010053
710,2010061
711,2010083
712,2010089
713,2010103
714,2010137
715,2010139
716,2010161
717,2010167
718,2010187
719,2010191
720,2010221
721,2010227
722,2010241
723,2010289
724,2010299
725,2010311
726,2010317
727,2010329
728,2010341
729,2010373
730,2010389
731,2010397
732,2010401
733,2010413
734,2010431
735,2010439
736,2010451
737,2010467
738,2010479
739,2010527
740,2010553
741,2010559
742,2010571
743,2010581
744,2010583
745,2010601
746,2010611
747,2010647
748,2010653
749,2010667
750,2010677
751,2010689
752,2010703
753,2010721
754,2010727
755,2010733
756,2010881
757,2010887
758,2010893
759,2010901
760,2010923
761,2010929
762,2010971
763,2010973
764,2010977
765,2011003
766,2011019
767,2011021
768,2011027
769,2011033
770,2011057
771,2011069
772,2011073
773,2011081
774,2011099
775,2011111
776,2011123
777,2011127
778,2011129
779,2011147
780,2011171
781,2011183
782,2011193
783,2011199
784,2011201
785,2011211
786,2011241
787,2011259
788,2011267
789,2011277
790,2011291
791,2011309
792,2011333
793,2011363
794,2011381
795,2011391
796,2011393
797,2011409
798,2011417
799,2011439
800,2011441
801,2011483
802,2011507
803,2011517
804,2011531
805,2011543
806,2011561
807,2011573
808,2011591
809,2011601
810,2011613
811,2011631
812,2011637
813,2011657
814,2011673
815,2011697
816,2011699
817,2011703
818,2011733
819,2011753
820,2011769
821,2011799
822,2011811
823,2011843
824,2011861
