,primes
0,17000023
1,17000069
2,17000077
3,17000129
4,17000141
5,17000161
6,17000173
7,17000239
8,17000287
9,17000299
10,17000327
11,17000339
12,17000359
13,17000377
14,17000407
15,17000413
16,17000429
17,17000441
18,17000443
19,17000479
20,17000483
21,17000507
22,17000549
23,17000569
24,17000579
25,17000593
26,17000597
27,17000603
28,17000677
29,17000689
30,17000693
31,17000707
32,17000713
33,17000729
34,17000743
35,17000747
36,17000759
37,17000779
38,17000821
39,17000843
40,17000861
41,17000891
42,17000917
43,17000941
44,17000947
45,17000957
46,17000959
47,17000999
48,17001007
49,17001013
50,17001031
51,17001073
52,17001079
53,17001091
54,17001107
55,17001121
56,17001133
57,17001137
58,17001191
59,17001199
60,17001217
61,17001223
62,17001227
63,17001247
64,17001251
65,17001253
66,17001269
67,17001277
68,17001319
69,17001323
70,17001329
71,17001349
72,17001359
73,17001407
74,17001419
75,17001427
76,17001433
77,17001449
78,17001461
79,17001473
80,17001487
81,17001497
82,17001503
83,17001521
84,17001527
85,17001529
86,17001533
87,17001557
88,17001559
89,17001571
90,17001583
91,17001587
92,17001601
93,17001613
94,17001631
95,17001643
96,17001653
97,17001659
98,17001667
99,17001679
100,17001697
101,17001703
102,17001707
103,17001709
104,17001739
105,17001779
106,17001781
107,17001797
108,17001799
109,17001811
110,17001851
111,17001863
112,17001877
113,17001883
114,17001913
115,17001931
116,17001947
117,17001953
118,17001973
119,17001977
120,17001997
121,17002019
122,17002021
123,17002039
124,17002049
125,17002061
126,17002067
127,17002081
128,17002087
129,17002099
130,17002123
131,17002133
132,17002151
133,17002163
134,17002177
135,17002199
136,17002201
137,17002213
138,17002217
139,17002253
140,17002259
141,17002273
142,17002327
143,17002333
144,17002339
145,17002343
146,17002369
147,17002387
148,17002393
149,17002409
150,17002411
151,17002417
152,17002421
153,17002429
154,17002457
155,17002481
156,17002483
157,17002487
158,17002507
159,17002541
160,17002553
161,17002571
162,17002603
163,17002607
164,17002627
165,17002639
166,17002651
167,17002691
168,17002697
169,17002717
170,17002723
171,17002747
172,17002757
173,17002793
174,17002807
175,17002813
176,17002829
177,17002831
178,17002901
179,17002913
180,17002919
181,17002939
182,17002969
183,17003027
184,17003039
185,17003057
186,17003093
187,17003101
188,17003123
189,17003149
190,17003153
191,17003167
192,17003171
193,17003191
194,17003197
195,17003209
196,17003219
197,17003243
198,17003333
199,17003339
200,17003341
201,17003351
202,17003411
203,17003419
204,17003429
205,17003443
206,17003471
207,17003473
208,17003491
209,17003501
210,17003507
211,17003521
212,17003543
213,17003573
214,17003611
215,17003617
216,17003627
217,17003633
218,17003639
219,17003663
220,17003677
221,17003687
222,17003699
223,17003711
224,17003713
225,17003771
226,17003783
227,17003827
228,17003837
229,17003839
230,17003843
231,17003849
232,17003867
233,17003873
234,17003887
235,17003897
236,17003911
237,17003929
238,17003939
239,17003981
240,17004011
241,17004017
242,17004023
243,17004037
244,17004047
245,17004059
246,17004067
247,17004077
248,17004101
249,17004103
250,17004137
251,17004139
252,17004161
253,17004173
254,17004187
255,17004191
256,17004227
257,17004241
258,17004263
259,17004311
260,17004319
261,17004341
262,17004359
263,17004367
264,17004397
265,17004409
266,17004413
267,17004431
268,17004433
269,17004439
270,17004443
271,17004451
272,17004457
273,17004473
274,17004499
275,17004509
276,17004511
277,17004517
278,17004529
279,17004551
280,17004557
281,17004587
282,17004599
283,17004619
284,17004623
285,17004629
286,17004703
287,17004707
288,17004721
289,17004731
290,17004739
291,17004781
292,17004847
293,17004857
294,17004859
295,17004863
296,17004877
297,17004881
298,17004887
299,17004899
300,17004901
301,17004931
302,17004937
303,17004961
304,17004971
